Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
EURUSD,1.17009,0.00420,0.36%,-0.37%,0.46%,12.96%,4.82%,Sep/26
GBPUSD,1.33999,0.00660,0.49%,-0.50%,-0.77%,7.04%,0.21%,Sep/26
AUDUSD,0.65368,0.00013,-0.02%,-0.78%,0.37%,5.61%,-5.29%,Sep/26
NZDUSD,0.57562,0.00020,0.03%,-1.65%,-1.78%,2.92%,-9.21%,Sep/26
USDJPY,149.403,0.387,-0.26%,1.02%,1.40%,-5.05%,5.07%,Sep/26
USDCNY,7.14141,0.00080,-0.01%,0.36%,-0.11%,-2.67%,2.30%,Sep/26
USDCHF,0.79720,0.00220,-0.28%,0.29%,-0.54%,-12.14%,-5.14%,Sep/26
USDCAD,1.39305,0.00010,-0.01%,1.17%,1.08%,-3.11%,3.10%,Sep/26
USDMXN,18.3462,0.1139,-0.62%,0.21%,-1.64%,-12.01%,-6.86%,Sep/26
USDINR,88.6740,0.0934,-0.11%,0.65%,1.16%,3.62%,5.91%,Sep/26
USDBRL,5.35010,0.01420,-0.26%,0.45%,-1.25%,-13.49%,-1.54%,Sep/26
USDRUB,83.4852,0.4648,-0.55%,-0.02%,3.90%,-26.44%,-11.49%,Sep/26
USDKRW,1409.55,0.41,0.03%,0.88%,1.17%,-4.65%,7.57%,Sep/26
DXY,98.182,0.371,-0.38%,0.55%,-0.05%,-9.50%,-2.23%,Sep/26
USDTRY,41.5613,0.0953,0.23%,0.52%,1.31%,17.62%,21.65%,Sep/26
USDSEK,9.40200,0.05270,-0.56%,0.52%,-1.32%,-15.02%,-6.79%,Sep/26
USDPLN,3.64310,0.01500,-0.41%,0.60%,-0.53%,-11.80%,-4.84%,Sep/26
USDNOK,9.96490,0.04970,-0.50%,0.32%,-1.06%,-12.47%,-5.05%,Sep/26
USDZAR,17.3333,0.0851,-0.49%,-0.08%,-1.95%,-8.05%,1.27%,Sep/26
USDDKK,6.37589,0.02290,-0.36%,0.43%,-0.51%,-11.44%,-4.52%,Sep/26
USDSGD,1.29101,0.00280,-0.22%,0.57%,0.46%,-5.47%,0.79%,Sep/26
USDILS,3.34780,0.00560,0.17%,0.84%,0.57%,-7.96%,-10.21%,Sep/26
USDHKD,7.77836,0.00220,-0.03%,0.05%,-0.08%,0.15%,0.09%,Sep/26
USDCLP,960.500,0.790,0.08%,0.57%,-0.84%,-3.41%,6.69%,Sep/26
USDPKR,281.400,1.075,-0.38%,-0.87%,-0.49%,1.09%,1.33%,Sep/26
USDCZK,20.7350,0.0413,-0.20%,1.12%,-1.51%,-14.76%,-7.74%,Sep/26
USDHUF,333.989,1.120,-0.33%,1.98%,-1.82%,-15.91%,-5.87%,Sep/26
