Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread 3Y,Spread 5Y,Latest Open_Color,Latest Close_Color,Latest High_Color,Latest Low_Color,Open 1d (%)_Color,Open 1w (%)_Color,Close 1d (%)_Color,Close 1w (%)_Color,High 1d (%)_Color,High 1w (%)_Color,Low 1d (%)_Color,Low 1w (%)_Color,Spread 1Y_Color,Spread 3Y_Color,Spread 5Y_Color
BKNG,Booking Holdings Inc.,5570.64,5571.83,5604.43,5517.5,0.0,1.0,0.0,-0.03,0.0,0.31,0.0,0.77,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
AXON,"Axon Enterprise, Inc.",736.74,731.98,740.0,718.02,0.0,-0.07,0.0,0.92,0.0,0.27,0.0,0.67,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
SPOT,Spotify Technology S.A.,715.57,719.16,727.0,710.67,0.0,3.15,0.0,3.13,0.0,2.23,0.0,3.13,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
TYL,"Tyler Technologies, Inc.",566.34,558.41,565.12,554.47,0.0,2.65,0.0,0.83,0.0,1.98,0.0,0.94,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
HUBS,"HubSpot, Inc.",496.18,502.29,505.0,496.57,0.0,3.98,0.0,6.26,0.0,5.23,0.0,6.76,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
MSFT,Microsoft Corporation,501.39,498.41,502.25,497.71,0.0,-0.48,0.0,-1.37,0.0,-1.09,0.0,-0.92,SENIOR_NORE_14,8.18,12.06,20.76,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF
ALNY,"Alnylam Pharmaceuticals, Inc.",460.0,482.13,484.21,455.3,0.0,3.42,0.0,7.76,0.0,6.14,0.0,2.84,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
CYBR,CyberArk Software Ltd.,468.5,469.49,471.2,465.66,0.0,4.24,0.0,3.06,0.0,3.11,0.0,3.86,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
CMI,Cummins Inc.,396.68,394.78,396.0,390.11,0.0,0.49,0.0,0.68,0.0,-0.52,0.0,0.15,SENIOR_NORE_14,12.35,26.32,48.9,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
CMI,Cummins Inc.,396.68,394.78,396.0,390.11,0.0,0.49,0.0,0.68,0.0,-0.52,0.0,0.15,SENIOR_NORE,12.35,26.32,48.9,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
PODD,Insulet Corporation,350.0,352.82,353.5,347.3,0.0,0.97,0.0,2.7,0.0,1.98,0.0,2.45,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
