Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts
61,SATS,EchoStar Corporation,71.81,170.36,137.75,0.5,0.75,43.72,137.75,73.62,99.75,99.84,109.0,97.02,63.67,-56.87,-35.36,60.3,-26.1,-4.33,50.05,-5.01,-11.79,74.08,"38,800",-19.93,-30.83,"476,890",2.62,10.12,535
367,CABO,"Cable One, Inc.",172.84,67.42,110.43,0.5,0.69,36.7,110.43,59.52,99.75,96.99,90.06,79.45,,,,,,,,,,,N/A,,,N/A,,,N/A
179,IONS,"Ionis Pharmaceuticals, Inc.",61.17,93.73,58.94,0.5,1.26,30.08,59.49,40.06,99.75,99.9,55.34,50.36,53.79,-41.84,-40.85,,,,46.73,,,5.15,"3,440",76.59,23.74,"58,557",-0.03,3.74,113
330,INVA,"Innovava, Inc.",19.38,30.09,23.85,0.5,0.58,15.44,23.92,19.15,99.5,97.17,20.86,19.81,54.93,-14.75,13.99,68.58,-4.12,43.34,,,,-31.08,175,2.34,-2.23,"2,283",0.0,0.13,16
367,TPIC,"TPI Composites, Inc.",0.03,522.84,305.05,0.5,1.06,87.01,305.26,134.2,99.5,99.98,240.12,222.02,,,,,,,,,,,N/A,,,N/A,,,N/A
6,OPEN,Opendoor Technologies Inc.,10.21,258.1,203.28,0.5,0.5,66.58,205.0,91.83,99.25,99.99,162.61,143.27,163.91,-23.71,-3.32,,,,183.39,-0.37,9.46,39.37,"1,046,307",-49.39,-68.95,"3,663,270",5.92,20.16,302
92,GPRO,"GoPro, Inc.",2.31,140.66,115.38,0.5,-0.96,49.35,118.39,69.21,98.75,99.85,103.13,93.95,157.6,-3.55,-14.89,,,,,,,-42.22,"27,069",25.19,-34.09,"264,779",0.42,13.62,60
148,MNKD,MannKind Corporation,5.39,93.25,64.87,0.5,0.63,32.89,64.91,44.72,98.75,97.67,52.34,48.13,72.98,-5.74,-3.32,,,,59.86,5.84,-2.99,-8.11,"4,006",58.72,70.9,"91,667",0.06,-0.95,55
72,ETSY,"Etsy, Inc.",60.62,58.66,49.16,0.5,0.87,37.29,51.84,44.49,96.01,91.75,48.37,45.87,67.93,-3.63,24.94,65.29,13.91,18.55,46.31,-14.14,-15.69,-18.77,"31,752",3.2,-63.4,"392,534",2.93,7.54,337
367,MLAB,"Mesa Laboratories, Inc.",65.15,66.9,72.12,0.5,1.42,44.73,74.42,55.25,95.76,99.76,63.97,61.56,,,,,,,,,,,N/A,,,N/A,,,N/A
357,AORT,"Artivion, Inc.",39.95,72.8,49.82,0.5,1.25,24.52,51.55,34.95,95.26,98.32,43.8,39.55,59.23,-13.34,-3.11,,,,35.79,,,-9.42,106,0.0,0.0,505,0.0,0.2,15
33,RUN,Sunrun Inc.,15.91,133.2,157.61,0.5,0.18,74.04,161.84,99.81,94.76,99.02,130.45,120.59,89.77,-22.16,-2.92,90.13,0.1,0.91,86.87,1.33,-2.6,67.84,"33,665",2.65,-26.18,"1,040,221",0.15,-2.04,366
308,ZD,"Ziff Davis, Inc.",38.36,70.83,54.03,0.5,1.2,29.12,60.96,41.03,94.76,95.3,51.99,49.26,57.59,-58.39,-28.27,62.9,-17.32,-9.11,50.38,160.29,0.99,-3.57,445,-39.7,-51.1,"4,627",-6.2,-5.13,35
211,DAY,"Dayforce, Inc.",68.41,70.61,49.4,0.5,-1.33,28.84,57.91,38.18,94.51,96.4,47.7,43.55,11.05,-71.05,-67.84,15.83,-18.23,-24.23,5.27,7.86,5.38,38.35,"1,288",-51.94,82.95,"35,216",3.88,4.39,48
93,SABR,Sabre Corporation,1.84,135.34,88.95,0.5,0.26,50.55,104.24,71.22,93.52,90.86,86.88,81.21,95.53,-13.49,-4.15,96.19,1.92,-7.75,69.19,-12.56,,-6.58,"21,502",-3.44,47.14,"254,898",0.27,7.17,87
150,DDD,3D Systems Corporation,2.24,110.6,106.8,0.5,0.26,61.21,111.2,87.83,93.27,92.21,101.31,99.08,111.07,3.35,10.48,,,,86.08,-2.06,-8.19,-4.27,"23,235",831.26,952.31,"88,831",0.35,0.83,58
322,WK,Workiva Inc.,81.39,42.71,57.96,0.5,-0.6,26.38,64.01,39.66,93.02,96.7,56.77,50.56,47.73,-25.82,-21.9,45.81,-4.03,-7.84,40.64,4.19,17.64,10.23,371,-6.55,22.44,"2,967",-0.27,0.64,50
248,HAE,Haemonetics Corporation,49.95,92.82,55.75,0.5,-0.11,25.21,59.07,35.31,93.02,99.43,50.59,46.61,45.14,-48.77,-23.97,43.58,-0.08,9.0,43.97,14.51,26.3,10.61,"2,021",-66.38,-10.5,"16,338",-4.95,-2.99,47
255,LNTH,"Lantheus Holdings, Inc.",50.84,107.18,76.83,0.5,0.54,43.09,78.1,61.78,93.02,94.01,66.45,64.09,63.84,-16.62,-4.73,60.99,-1.88,0.79,53.32,-2.01,2.48,12.99,"2,248",-14.1,-8.54,"15,260",-0.78,3.7,170
218,BLMN,"Bloomin' Brands, Inc.",6.7,117.88,90.49,0.5,0.03,28.95,98.44,54.19,92.52,95.59,84.59,76.92,476.51,-2.87,540.23,513.19,0.71,591.16,,,,-386.01,"1,117",-41.85,-21.56,"30,597",-1.58,-5.59,44
99,XRX,Xerox Holdings Corporation,3.67,41.12,77.74,0.5,0.62,36.03,89.05,53.26,92.27,95.79,71.84,67.65,255.96,-6.41,171.69,,,,,,,-178.22,"6,875",231.49,165.34,"218,306",0.14,0.52,52
220,NEO,NeoGames S.A.,8.11,80.26,98.7,0.5,0.71,40.89,107.12,67.04,92.27,93.92,94.0,82.42,68.57,-14.62,-35.46,73.97,-2.99,-3.32,60.51,-0.93,17.53,30.13,"3,339",-12.75,-10.27,"28,541",-0.69,5.78,51
107,FLR,Fluor Corporation,40.34,34.9,64.46,0.5,-0.12,27.36,71.26,43.49,91.77,96.4,61.69,57.14,59.97,-3.26,8.58,,,,59.06,11.13,32.14,4.49,"22,585",100.04,311.08,"184,832",3.87,8.19,171
21,WOLF,"Wolfspeed, Inc.",2.72,192.82,294.17,0.5,2.09,69.77,308.23,147.72,91.52,97.21,251.47,228.85,312.95,-12.92,23.91,301.12,21.72,5.63,83.1,-17.51,-15.59,-18.79,"234,178",63.13,34.64,"1,731,944",1.12,35.12,164
126,CHGG,"Chegg, Inc.",1.41,108.49,112.01,0.5,1.77,39.21,122.32,88.64,91.52,86.09,112.66,106.24,146.59,-10.75,10.75,168.19,39.18,24.98,,,,-34.58,"3,859",5.55,-71.77,"126,831",0.92,0.19,48
147,CHTR,"Charter Communications, Inc.",268.02,22.72,46.61,0.5,-1.05,28.46,52.19,40.31,91.02,90.76,42.77,42.03,53.42,-16.36,-5.42,66.7,3.74,19.24,46.69,-12.34,12.32,-6.81,"63,752",250.46,81.2,"93,648",1.24,3.67,465
282,ENOV,Enovis Corporation,32.13,46.47,53.51,0.5,0.32,25.37,59.65,36.59,90.52,95.6,50.35,46.14,65.35,-2.24,-3.6,63.94,3.38,7.0,58.48,7.15,0.53,-11.84,433,1.88,14.85,"8,915",-0.02,1.55,35
94,SRPT,"Sarepta Therapeutics, Inc.",17.05,70.34,147.29,0.5,0.16,29.38,157.81,70.83,89.53,98.01,121.98,105.57,109.95,-14.02,7.19,,,,109.95,4.52,2.57,37.34,"23,123",51.02,62.15,"252,327",0.27,1.12,196
224,RNG,"RingCentral, Inc.",31.54,81.93,53.49,0.5,-1.55,39.07,60.78,46.02,88.53,94.17,51.42,48.36,51.36,-42.99,-11.26,56.6,0.03,2.11,46.33,2.71,1.21,2.13,"2,774",-1.0,37.46,"26,161",0.2,1.4,77
338,AMPH,"Amphastar Pharmaceuticals, Inc.",26.98,64.45,45.65,0.5,0.88,26.91,50.05,40.4,88.28,87.55,43.98,42.92,67.3,-41.18,-52.54,76.62,-1.28,-35.88,,,,-21.65,164,0.0,0.0,"1,473",0.2,0.68,27
274,MTH,Meritage Homes Corporation,75.46,40.33,40.94,0.5,-0.48,32.77,45.35,38.36,88.28,83.61,40.48,39.18,176.48,3.27,308.12,181.59,3.0,292.09,,,,-135.54,"11,864",3.02,1115.57,"11,799",2.49,3.84,63
53,MP,MP Materials Corp.,66.81,46.1,96.32,0.5,-3.7,51.54,111.58,67.51,88.03,95.16,90.73,83.06,75.54,-26.58,-9.32,73.28,-2.46,-0.35,72.72,2.99,5.47,20.79,"80,387",56.36,44.59,"594,814",0.95,12.21,593
295,SPB,"Spectrum Brands, Inc.",52.76,41.82,38.54,0.5,0.39,21.17,42.99,30.86,88.03,92.5,37.1,33.52,211.8,-20.34,377.82,,,,,,,-173.26,785,-0.13,1.03,"6,760",0.1,0.39,34
196,MODG,Topgolf Callaway Brands Corp.,9.16,64.64,70.72,0.5,0.67,30.85,78.0,53.85,87.78,92.5,67.75,62.19,72.12,-2.69,5.2,,,,62.56,0.95,-11.1,-1.4,975,6.32,97.37,"42,525",0.76,1.16,38
273,GWRE,"Guidewire Software, Inc.",246.94,57.86,42.51,0.5,-2.03,22.38,46.45,35.04,87.03,86.72,42.6,40.07,45.39,1.6,-22.5,45.87,5.94,-11.88,37.09,-7.55,10.18,-2.88,"1,173",-16.75,-33.24,"11,891",-1.25,2.08,149
353,IIIV,"i3 Verticals, Inc.",30.5,44.22,38.74,0.5,0.15,32.03,40.57,36.48,86.03,89.09,37.0,36.47,56.97,-16.55,-50.16,,,,61.53,,,-18.23,33,0.0,0.0,730,0.0,0.69,13
267,MIDD,Middleby Corporation,133.95,72.13,45.98,0.5,-0.28,23.82,55.44,34.1,85.54,92.08,47.34,42.97,43.7,-66.82,-29.77,49.63,-2.49,4.69,33.26,-3.26,12.13,2.29,"3,486",-0.03,-0.49,"12,620",0.02,0.6,63
271,GMED,"Globus Medical, Inc.",56.22,38.28,53.24,0.5,0.16,22.65,56.65,35.77,84.54,94.31,45.59,40.76,38.02,-51.83,-40.06,40.56,3.78,-4.7,34.54,45.5,31.58,15.22,"1,438",0.7,-14.86,"12,207",0.15,1.24,69
176,TVTX,"Travere Therapeutics, Inc.",23.65,87.97,72.4,0.5,0.41,53.66,115.04,65.55,84.54,82.88,70.02,66.38,65.63,-11.62,-4.25,57.12,-10.16,23.59,49.81,-2.19,21.77,6.78,"1,327",14.89,-64.36,"61,510",0.1,19.49,51
339,NSIT,"Insight Enterprises, Inc.",119.42,35.59,42.78,0.5,1.02,20.35,46.38,33.55,84.29,90.99,38.56,38.51,50.12,-24.29,0.98,60.81,-0.55,-2.24,41.0,1.96,5.74,-7.34,685,0.0,0.0,"1,448",0.0,1.4,22
56,ENPH,"Enphase Energy, Inc.",38.72,57.7,85.48,0.5,-4.2,55.51,94.48,68.58,84.04,94.45,77.06,75.4,75.67,-17.25,2.23,77.15,1.31,9.75,74.87,1.65,11.34,9.81,"65,921",6.01,23.9,"546,140",1.06,5.6,341
73,SEDG,"SolarEdge Technologies, Inc.",34.11,88.0,125.17,0.5,-0.3,65.61,136.31,98.66,84.04,90.34,115.52,114.66,97.15,-22.39,-4.31,101.08,1.29,4.39,94.47,-2.02,-0.97,28.02,"20,978",-2.46,92.94,"375,006",1.72,2.47,307
301,PAR,PAR Technology Corporation,42.83,73.3,49.46,0.5,-0.29,35.93,56.66,44.58,83.79,87.24,51.21,48.4,64.47,-4.83,2.73,93.4,-2.6,11.72,53.13,10.02,-12.11,-15.0,"1,265",35.29,111.19,"5,498",7.97,28.22,54
80,CFLT,"Confluent, Inc.",19.58,45.59,80.9,0.5,-1.02,45.6,112.5,68.35,83.54,77.53,79.35,72.62,67.89,-3.18,9.41,,,,74.79,22.61,19.09,13.01,"22,782",76.33,23.89,"348,915",0.02,1.27,240
171,BOX,"Box, Inc.",32.74,23.1,31.95,0.5,-0.16,22.03,35.14,28.69,81.8,81.94,29.11,27.73,31.99,-30.43,-14.07,31.67,-8.38,-6.86,26.62,-4.19,-9.26,-0.04,"2,830",-13.72,18.66,"66,550",-0.47,4.29,119
9,LCID,"Lucid Group, Inc.",20.36,72.32,82.5,0.5,0.68,64.68,86.69,78.03,81.3,82.5,78.11,77.13,83.34,-15.8,-6.36,93.41,-4.08,-3.44,87.9,30.49,31.03,-0.84,"92,718",-34.16,-32.53,"3,040,740",0.34,-1.45,329
143,CYTK,"Cytokinetics, Incorporated",47.56,110.85,73.12,0.5,0.61,33.67,120.93,62.23,81.3,65.69,66.69,59.83,68.58,-16.43,-7.21,,,,72.93,33.55,34.88,4.54,"2,799",-43.99,-7.78,"96,394",1.66,5.03,99
351,IART,Integra LifeSciences Holdings Corporation,14.8,50.19,67.35,0.5,-0.58,30.06,72.69,55.39,80.8,87.38,61.6,60.05,102.02,-29.38,2.95,107.25,0.8,21.59,75.02,18.42,8.38,-34.67,121,-8.33,10.0,941,0.43,0.64,21
139,DOCN,"DigitalOcean Holdings, Inc.",36.25,60.38,67.6,0.5,-1.65,43.33,78.93,55.72,80.3,90.16,67.84,63.0,59.56,-24.26,-10.51,64.26,-1.77,-9.16,54.77,-0.75,-9.92,8.03,"4,974",61.02,-2.95,"100,611",0.47,1.68,137
26,PLUG,Plug Power Inc.,2.0,76.94,118.46,0.5,0.85,75.41,138.95,102.69,79.3,83.24,107.74,106.85,114.25,-13.42,-2.46,120.32,-0.32,2.9,117.85,0.76,9.61,4.2,"253,349",-40.6,650.51,"1,257,492",11.1,17.32,87
268,DVAX,Dynavax Technologies Corporation,9.57,38.59,39.35,0.5,1.78,26.1,44.08,33.71,78.55,85.93,37.26,36.84,58.11,-37.6,-31.23,56.48,-69.04,-39.59,40.5,,66.01,-18.76,"2,898",-4.45,-12.08,"12,520",-1.49,3.2,48
182,WIX,Wix.com Ltd.,180.99,52.49,49.42,0.5,-4.63,27.62,54.89,43.35,78.55,79.3,49.77,47.94,49.66,-33.95,-26.77,49.87,-12.18,-16.5,45.48,-13.2,-4.55,-0.25,"15,230",20.57,135.25,"57,034",-2.16,14.84,233
240,HALO,"Halozyme Therapeutics, Inc.",75.81,18.33,58.58,0.5,0.2,28.16,61.22,43.97,78.3,90.18,47.78,50.91,40.41,6.73,-36.84,41.56,9.91,-19.27,41.03,36.48,9.34,18.17,"1,292",6.51,3.44,"20,350",0.68,3.63,54
367,FARO,"FARO Technologies, Inc.",43.99,9.21,68.27,0.5,0.5,32.21,82.41,54.71,77.84,81.18,72.71,65.03,,,,,,,,,,,N/A,,,N/A,,,N/A
342,LIVN,LivaNova PLC,54.53,42.16,47.75,0.5,-0.07,25.47,56.23,40.98,77.81,78.62,47.43,42.57,61.47,-10.37,16.74,72.13,-1.75,11.11,39.67,-1.11,12.4,-13.71,195,0.0,1.04,"1,299",0.0,2.12,33
272,RPAY,Repay Holdings Corporation,5.65,45.95,54.1,0.5,1.14,32.54,66.76,46.1,77.56,78.78,54.84,50.73,59.93,-28.73,-67.6,59.0,2.32,-8.47,,,,-5.83,542,-49.72,-72.26,"11,964",7.11,27.56,12
315,BHR,Braemar Hotels & Resorts,2.97,69.33,63.21,0.5,0.25,45.53,73.09,58.62,76.06,73.17,58.47,55.73,416.34,-22.41,292.9,,,,,,,-353.13,625,204.88,274.25,"3,724",0.24,0.76,9
13,PCG,PG&E Corporation,15.09,31.34,30.82,0.5,-0.62,16.85,35.36,24.56,75.56,83.22,33.72,30.34,78.62,-26.97,53.1,71.48,-2.9,59.89,12.3,-88.01,-68.91,-47.8,"74,239",32.05,-19.05,"2,608,034",0.75,-3.5,203
226,LRN,"Stride, Inc.",138.54,64.77,44.99,0.5,10.89,22.91,62.66,39.12,74.81,66.66,40.45,50.25,60.27,-43.09,2.14,60.58,-3.32,17.59,50.07,-3.73,3.35,-15.28,"4,879",28.39,262.48,"24,630",-3.99,32.63,145
193,VERI,"Veritone, Inc.",4.1,160.43,128.07,0.5,1.46,80.0,152.72,116.97,74.81,72.01,115.12,116.13,123.74,-18.1,-1.65,,,,130.45,3.41,-10.52,4.33,"3,069",-41.17,-64.75,"43,043",-0.75,14.08,21
251,SKIN,The Beauty Health Company,2.39,98.02,127.37,0.5,0.53,69.0,197.22,107.96,74.31,71.45,112.9,103.76,105.84,-38.5,-38.57,,,,,,,21.54,"2,215",-1.16,317.14,"16,077",0.09,33.19,18
337,TTGT,"TechTarget, Inc.",6.77,55.66,78.29,0.5,-3.19,28.62,99.25,57.78,74.31,83.47,80.62,76.87,73.94,-63.55,-65.25,78.62,-21.92,-33.1,,,,4.35,276,15.97,28.37,"1,476",-0.07,3.58,17
60,KHC,Kraft Heinz Company (The),25.73,30.53,25.91,0.5,0.78,17.27,28.16,22.04,74.31,87.69,27.18,24.88,220.68,-7.24,621.82,,,,,,,-194.77,"22,674",8.9,22.46,"477,866",-1.86,0.76,210
237,WGO,"Winnebago Industries, Inc.",33.0,46.07,47.61,0.5,0.74,28.16,59.79,41.49,73.82,73.87,52.26,49.3,286.92,-2.25,305.25,273.58,3.97,300.32,,,,-239.31,934,-7.89,10.01,"21,084",-0.53,-0.27,102
44,MRK,"Merck & Co., Inc.",81.14,21.5,28.33,0.5,2.03,15.39,34.66,24.23,73.82,75.76,30.0,27.39,180.56,-1.41,428.35,235.38,-17.75,500.44,,,,-152.23,"53,292",0.47,27.22,"746,155",1.91,3.05,454
