Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts
8,OPEN,Opendoor Technologies Inc.,10.52,256.05,203.29,0.5,12.33,66.58,203.29,90.75,100.0,100.0,160.6,141.83,183.3,8.12,,,,,177.13,5.72,,19.99,"2,040,471",-39.44,90.28,"3,168,668",3.93,30.55,184
62,SATS,EchoStar Corporation,77.04,180.59,137.41,0.5,2.72,43.72,137.41,73.19,99.75,99.89,108.67,97.14,81.3,-17.46,,64.32,2.03,,57.62,1.55,,56.11,"52,153",-7.03,37.76,"442,384",2.15,20.35,212
93,GPRO,"GoPro, Inc.",2.0,138.92,117.09,0.5,6.25,49.35,117.09,68.63,99.75,99.95,101.57,92.79,153.91,-16.88,,,,,,,,-36.82,"35,161",-14.38,670.91,"246,666",5.85,23.4,43
367,TPIC,"TPI Composites, Inc.",0.03,518.39,303.28,0.5,1.03,87.01,303.48,132.82,99.75,99.99,254.27,220.83,,,,,,,,,,,N/A,,,N/A,,,N/A
177,IONS,"Ionis Pharmaceuticals, Inc.",64.04,92.8,58.5,0.5,1.14,30.08,59.49,39.85,99.5,99.94,55.16,52.14,77.56,-14.71,,,,,,,,-19.06,"2,634",-5.25,-20.9,"56,507",0.11,8.0,96
328,INVA,"Innovava, Inc.",19.43,31.04,23.83,0.5,1.22,15.44,23.94,19.15,99.25,97.13,20.82,19.85,58.26,20.9,,47.03,-1.72,,41.36,23.68,,-34.43,180,0.56,185.71,"2,284",0.18,2.15,17
367,CABO,"Cable One, Inc.",177.68,71.42,110.22,0.5,1.71,36.7,110.3,58.79,99.25,97.3,90.04,79.64,,,,,,,,,,,N/A,,,N/A,,,N/A
143,MNKD,MannKind Corporation,5.42,93.32,64.79,0.5,0.62,32.89,64.91,44.64,98.0,97.81,53.4,48.01,76.96,1.96,,,,,40.93,-33.66,,-12.18,"5,681",142.36,-7.61,"92,450",-0.1,6.41,53
29,RUN,Sunrun Inc.,16.01,134.48,158.12,0.5,0.63,74.04,161.84,99.15,96.51,99.29,130.71,121.07,85.43,-7.61,,85.54,-4.23,,90.86,1.87,,72.69,"20,190",-55.73,-80.3,"1,049,707",-1.15,8.34,303
367,MLAB,"Mesa Laboratories, Inc.",63.09,105.52,71.47,0.5,1.83,44.73,74.42,55.05,96.01,99.78,63.58,61.2,,,,,,,,,,,N/A,,,N/A,,,N/A
357,AORT,"Artivion, Inc.",42.31,71.78,49.45,0.5,1.85,24.52,51.55,34.91,95.76,98.22,43.58,39.32,101.18,65.5,,,,,,,,-51.73,106,0.0,7.07,505,0.2,-1.75,12
