Ticker,Normalized 3m,Normalized 6m,Normalized 1y
SATS,21.63,31.28,25.73
OPEN,9.84,18.66,32.08
TPIC,3246.75,2779.22,9038.96
IONS,55.31,51.18,65.82
GPRO,50.6,42.69,75.45
MNKD,69.51,94.37,109.26
RUN,52.84,40.55,107.3
DAY,86.49,80.39,83.41
ETSY,105.84,81.49,93.86
AORT,67.7,56.82,57.57
DDD,82.86,123.81,93.33
WK,86.55,113.42,91.89
HAE,131.56,120.8,136.32
MLAB,161.8,204.07,191.63
SABR,162.71,188.14,164.41
ZD,84.56,105.17,125.97
BLMN,124.84,118.99,221.3
FLR,118.87,90.42,107.96
GWRE,97.92,72.61,65.42
XRX,142.87,151.13,247.71
LNTH,145.52,183.58,179.92
RNG,83.25,85.01,87.37
CABO,80.31,139.6,200.89
CHTR,150.71,133.47,122.8
WOLF,74.18,321.43,419.23
SRPT,211.51,550.96,719.61
ENOV,103.53,118.79,138.25
MTH,82.83,87.9,118.02
INVA,106.05,86.17,96.53
MP,46.24,42.49,21.95
AMPH,90.15,90.9,151.24
MIDD,103.75,109.37,93.5
IART,82.24,144.85,114.84
GMED,101.9,120.24,117.43
ENPH,117.82,153.22,275.72
SEDG,69.97,53.66,59.42
PAR,135.79,125.33,114.32
NEO,94.02,124.94,198.73
MODG,86.53,67.58,102.41
SPB,96.22,125.95,156.08
WIX,92.64,103.32,91.99
DOCN,82.17,105.36,110.02
CFLT,122.29,132.06,97.19
LCID,111.4,107.79,182.05
CHGG,94.84,50.97,121.94
NSIT,105.9,119.48,156.82
IIIV,78.35,75.42,69.46
BOX,106.83,93.11,97.47
DVAX,104.84,139.82,112.8
PEP,91.56,101.71,119.63
CYTK,64.47,86.14,105.15
TTGT,121.96,222.64,403.72
KHC,97.78,110.05,126.06
HALO,71.7,81.86,77.9
LIVN,79.41,66.83,80.02
FARO,96.75,66.9,38.21
PLUG,92.2,117.73,133.33
SKIN,63.93,54.1,61.07
ARRY,93.81,76.77,71.84
RPAY,83.89,95.13,133.05
PRGS,147.38,128.71,134.28
BHR,83.92,97.53,93.25
ATI,112.35,68.75,79.5
GPN,89.78,108.09,124.53
HLX,116.09,130.21,151.07
VREX,73.6,107.85,97.93
WGO,93.44,100.14,150.96
VERI,38.28,67.97,77.99
NBR,83.48,108.22,163.88
IRWD,60.36,134.23,367.57
RTX,92.5,84.85,77.72
NOG,123.88,115.18,129.93
MRK,95.74,109.72,131.86
HUBS,113.44,121.28,97.98
MCHP,104.17,81.41,112.79
NRG,98.91,62.23,50.4
BTU,71.44,71.45,109.3
VSH,103.91,109.9,114.54
PCG,95.35,111.73,130.61
PR,104.18,97.05,90.94
NMFC,99.56,100.12,102.58
RIG,102.23,96.82,124.84
GPRE,46.41,51.5,119.16
JAZZ,85.82,107.34,83.33
MDB,63.63,55.99,88.04
INN,82.85,98.01,105.22
AAL,85.42,85.19,86.13
KOS,129.01,137.65,233.95
CBRL,108.9,79.13,70.83
STX,65.45,45.27,51.92
HCAT,117.06,121.76,230.88
