Commodity,Price,Day,Weekly,Monthly,YTD,YoY,Date
Crude Oil USD/Bbl,64.546,1.246,1.97%,3.06%,2.94%,-10.00%,-7.74%
Brent USD/Bbl,68.525,1.085,1.61%,3.22%,2.89%,-8.19%,-7.02%
Natural gas USD/MMBtu,3.1226,0.0796,2.62%,0.18%,8.05%,-14.05%,34.36%
Gasoline USD/Gal,2.0464,0.0329,1.63%,2.42%,-2.51%,1.69%,2.90%
Heating Oil USD/Gal,2.4005,0.0694,2.98%,3.49%,7.16%,3.61%,12.29%
Coal USD/T,101.50,0.80,0.79%,-4.06%,-8.56%,-18.96%,-26.05%
TTF Gas EUR/MWh,32.40,0.25,0.77%,-1.60%,3.62%,-35.78%,-8.93%
UK Gas GBp/thm,79.3763,0.8363,1.06%,-1.74%,3.13%,-36.70%,-6.27%
Ethanol USD/Gal,2.0050,0.0150,0.75%,2.56%,13.92%,18.64%,19.70%
Naphtha USD/T,570.34,4.08,0.72%,1.97%,2.76%,-6.73%,-8.90%
Uranium USD/Lbs,76.3000,1.0500,1.40%,-0.59%,3.95%,4.52%,-4.03%
Propane USD/Gal,0.72,0.00,0.61%,0.99%,7.16%,-7.71%,9.03%
Methanol CNY/T,2283.00,14.00,-0.61%,1.60%,-0.44%,-17.49%,-4.95%
Coking Coal CNY/T,196.50,7.00,3.69%,3.42%,2.08%,-2.72%,4.52%
Germany Natural Gas THE EUR/MWh,33.98,0.09,0.27%,-1.71%,3.65%,-31.86%,-5.27%
Urals Oil USD/Bbl,62.26,0.64,-1.02%,3.56%,-1.41%,-9.12%,-8.25%
Gold USD/t.oz,3692.10,12.72,0.35%,1.78%,10.78%,40.67%,43.42%
Silver USD/t.oz,42.619,0.071,-0.17%,4.24%,12.08%,47.56%,38.67%
Copper USD/Lbs,4.6346,0.0196,-0.42%,3.02%,3.92%,16.45%,9.88%
Steel CNY/T,3077.00,21.00,-0.68%,1.32%,-2.50%,-7.04%,1.32%
Lithium CNY/T,72850,400,0.55%,-2.37%,-11.92%,-2.93%,0.48%
