Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%)
360,ITGR,Integer Holdings Corporation,106.97,31.57,30.42,-3.52,-5.97,22.58,32.92,29.27,46.0,62.81,28.98,27.99,41.4,-65.68,16.36,67.09,-49.06,8.14,,,,-10.97,34,-2.86,6.25,252,4.13,4.56
97,XRX,Xerox Holdings Corporation,3.83,107.46,82.91,-1.99,-6.4,44.57,89.05,66.03,84.67,91.71,73.08,67.89,94.92,,53.73,,,,,,,-12.02,"2,027",29.03,3.42,"213,568",-0.04,0.12
124,MGNI,"Magnite, Inc.",25.57,56.14,67.69,0.48,-8.35,51.25,79.66,68.38,34.67,47.13,67.02,63.45,65.85,,-17.88,62.16,,,,,,1.83,"7,180",-36.89,-58.74,"110,983",-0.07,1.4
164,EXPE,"Expedia Group, Inc.",212.12,32.35,43.5,0.19,-8.93,25.76,55.96,46.92,31.33,34.13,45.81,40.91,51.83,,26.72,,,,,,,-8.33,"6,816",-10.23,4.73,"66,877",1.3,-3.86
163,CENX,Century Aluminum Company,21.69,35.63,60.62,-2.1,-10.02,60.45,83.68,73.21,1.33,2.35,68.81,66.92,76.22,,41.9,107.63,,,,,,-15.6,"2,181",18.34,-18.8,"67,105",0.07,0.65
348,FWONK,Formula One Group,101.07,21.56,22.1,0.73,-14.5,22.05,33.17,29.06,1.33,0.46,26.81,26.48,29.88,,8.79,30.92,,10.26,,,,-7.78,197,10.67,13.22,924,-0.43,0.43
334,MITT,"AG Mortgage Investment Trust, Inc.",7.49,35.1,35.78,-0.15,-7.2,22.21,38.76,30.75,85.33,80.28,32.73,29.5,24.0,-15.5,-25.19,20.23,-10.46,-30.43,20.23,-10.46,-30.43,11.78,377,-0.26,2.45,"1,500",0.6,1.42
218,FVRR,Fiverr International Ltd.,23.11,51.07,43.98,0.52,-3.94,42.48,56.15,50.02,5.33,3.25,46.76,48.39,48.93,8.13,-3.64,55.45,-6.48,-20.96,,,,-4.95,"1,926",31.56,25.72,"27,558",0.32,1.19
66,V,Visa Inc.,350.07,15.69,23.98,0.13,-12.44,16.03,28.8,24.01,33.33,49.79,23.62,22.62,23.85,-23.45,,21.72,-2.0,,20.86,-5.91,,0.13,"25,733",-3.26,40.81,"360,787",2.34,-2.33
41,LYFT,"Lyft, Inc.",16.8,48.54,59.15,-0.21,-6.4,55.01,68.54,62.23,23.33,20.84,57.82,58.72,74.83,,,85.63,,,65.27,,,-15.68,"65,222",-0.48,127.37,"720,709",3.89,0.58
331,VECO,Veeco Instruments Inc.,23.74,55.74,51.24,0.46,-3.59,36.28,53.42,45.65,88.67,84.31,47.53,45.82,89.13,,,49.27,,,,,,-37.89,998,-0.99,0.6,"2,085",0.0,0.34
173,EXAS,Exact Sciences Corporation,48.01,43.93,43.96,-3.89,-5.17,43.56,62.64,50.25,2.67,16.01,43.55,51.79,50.36,,-6.22,54.46,,12.5,54.46,,,-6.41,"3,096",22.52,-1.31,"53,430",0.37,0.48
