Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Market Spread,1y Spread,3y Spread,5y Spread,Latest Close_Color,Realised Volatility 30d (%)_Color,Realised Volatility 100d (%)_Color,Realised Volatility 100d 1d (%)_Color,Realised Volatility 100d 1w (%)_Color,Min Realised Volatility 100d (1y)_Color,Max Realised Volatility 100d (1y)_Color,Mean Realised Volatility 100d (1y)_Color,Rvol 100d Percentile (%)_Color,Rvol 100d Z-Score Percentile (%)_Color,Realised Volatility 180d (%)_Color,Realised Volatility 252d (%)_Color,Weighted IV (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Weighted IV 3m (%)_Color,Weighted IV 3m 1d (%)_Color,Weighted IV 3m 1w (%)_Color,ATM IV 3m (%)_Color,ATM IV 3m 1d (%)_Color,ATM IV 3m 1w (%)_Color,Rvol100d - Weighted IV_Color,Volume_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,Open Interest_Color,OI 1d (%)_Color,OI 1w (%)_Color,Market Spread_Color,1y Spread_Color,3y Spread_Color,5y Spread_Color
302,PAR,PAR Technology Corporation,49.26,76.25,54.28,,-4.2,35.93,56.66,44.86,93.6,97.48,51.22,48.34,54.52,-42.7,,,,,,,,-0.23,665,0.0,12.14,"4,174",-0.52,1.93,4.25,2.35,1.79,0.52,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
354,ALRM,"Alarm.com Holdings, Inc.",57.43,28.99,29.4,,-5.54,25.57,35.35,30.13,40.4,36.47,27.69,29.52,42.18,,19.97,,,,,,,-12.78,73,1.39,-2.67,446,-7.47,-6.89,0.21,1.4,1.5,1.72,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
257,EYE,"National Vision Holdings, Inc.",21.94,40.27,49.05,,-7.0,38.22,65.38,52.51,28.4,32.43,49.73,46.85,50.93,,,,,,,,,-1.88,267,10.33,-1.84,"12,135",0.0,0.14,11.92,0.6,0.78,1.21,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
334,MITT,"AG Mortgage Investment Trust, Inc.",7.49,35.1,35.78,,-7.67,21.06,38.76,29.79,91.2,87.21,32.73,29.5,24.0,-15.5,-25.19,,,,20.23,,-30.43,11.78,377,-0.26,2.45,"1,500",0.6,1.42,0.1,0.16,0.15,0.31,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
41,LYFT,"Lyft, Inc.",16.8,48.54,59.15,,-6.87,54.01,68.54,61.14,39.6,32.51,57.82,58.72,74.83,,,,,,65.27,,,-15.68,"65,222",-0.48,127.37,"720,709",3.89,0.58,1.69,0.61,0.65,1.22,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
74,SE,Sea Limited,178.78,57.77,49.7,,-11.54,33.57,56.49,43.96,60.0,75.59,50.58,46.85,50.66,21.62,-13.37,,,,44.39,,-14.26,-0.95,"17,967",75.15,17.23,"334,504",0.45,-2.35,1.88,4.4,3.11,4.93,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
325,ITRI,"Itron, Inc.",120.88,37.06,30.12,,-10.26,26.81,36.91,33.05,19.2,14.89,32.6,31.92,48.26,,7.09,,,,35.93,,15.12,-18.14,577,-0.17,5.1,"2,310",1.05,6.94,0.83,2.84,2.25,1.56,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
267,EVH,Evotec SE,9.61,62.27,72.0,,-0.63,52.99,121.84,85.07,57.2,30.36,64.58,87.23,76.9,1.16,,,,,,,,-4.89,"2,172",-5.36,2.79,"10,822",1.16,1.58,0.6,0.68,0.93,0.87,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
52,JBLU,JetBlue Airways Corporation,5.49,56.24,67.11,,-12.5,62.78,94.05,79.05,15.6,9.06,78.41,76.37,157.03,,80.47,,,,,,,-89.92,"44,178",431.69,578.93,"539,116",0.65,-2.5,0.85,0.31,0.29,0.42,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
120,RCL,Royal Caribbean Cruises Ltd.,354.08,35.51,42.48,,-10.63,29.81,56.19,43.34,54.8,45.89,46.58,42.65,51.16,39.96,-25.33,,,,,,,-8.68,"10,691",9.08,2.96,"114,066",1.81,-0.76,0.28,7.54,4.48,1.49,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
331,VECO,Veeco Instruments Inc.,23.74,55.74,51.24,,-4.07,36.28,53.42,46.86,77.6,79.14,47.53,45.82,89.13,,,,,,,,,-37.89,998,-0.99,0.6,"2,085",0.0,0.34,0.13,0.88,0.89,1.32,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
