Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts,Latest Close_Color,Realised Volatility 30d (%)_Color,Realised Volatility 100d (%)_Color,Realised Volatility 100d 1d (%)_Color,Realised Volatility 100d 1w (%)_Color,Min Realised Volatility 100d (2y)_Color,Max Realised Volatility 100d (2y)_Color,Mean Realised Volatility 100d (2y)_Color,Rvol 100d Percentile 2y (%)_Color,Rvol 100d Z-Score Percentile 2y (%)_Color,Realised Volatility 180d (%)_Color,Realised Volatility 252d (%)_Color,Weighted IV (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Weighted IV 3m (%)_Color,Weighted IV 3m 1d (%)_Color,Weighted IV 3m 1w (%)_Color,ATM IV 3m (%)_Color,ATM IV 3m 1d (%)_Color,ATM IV 3m 1w (%)_Color,Rvol100d - Weighted IV_Color,Volume_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,Open Interest_Color,OI 1d (%)_Color,OI 1w (%)_Color,Num Contracts_Color
62,SATS,EchoStar Corporation,83.57,179.81,137.2,0.5,2.33,43.72,137.2,72.98,99.75,99.92,108.49,97.0,102.41,-54.64,-24.15,64.6,-59.9,,58.1,71.87,-36.74,34.79,"40,669",-34.3,-17.5,"431,810",2.44,10.91,225,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#10B981,#F87171,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
9,OPEN,Opendoor Technologies Inc.,6.11,205.37,182.05,0.5,1.07,66.58,182.29,90.26,99.75,99.98,145.83,129.49,168.43,2.42,-0.41,157.68,,,166.36,0.07,1.26,13.63,"739,592",39.19,6.32,"2,963,409",2.67,11.59,213,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
367,TPIC,"TPI Composites, Inc.",0.04,518.12,302.27,0.5,1.27,87.01,302.27,132.13,99.75,99.99,253.7,220.14,,,,,,,,,,,N/A,,,N/A,,,N/A,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
175,IONS,"Ionis Pharmaceuticals, Inc.",64.4,92.98,58.47,0.5,0.26,30.08,59.49,39.75,99.5,99.95,55.43,52.29,88.97,41.46,-7.86,,,,,,,-30.5,"2,982",-12.47,-45.6,"56,394",0.65,10.39,100,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
93,GPRO,"GoPro, Inc.",1.67,129.64,112.88,0.5,2.37,49.35,113.07,68.35,99.5,99.9,98.87,90.61,185.99,29.42,5.83,,,,,,,-73.11,"5,433",-47.52,-17.03,"233,426",0.77,7.44,44,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
142,MNKD,MannKind Corporation,5.51,93.67,64.73,0.5,1.2,32.89,64.91,44.59,97.76,97.88,53.76,48.04,85.1,-5.55,8.87,65.29,,,43.14,-10.54,-26.92,-20.37,"2,101",-32.18,-67.13,"91,700",1.19,6.8,54,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
27,RUN,Sunrun Inc.,16.03,136.69,158.33,0.5,0.86,74.04,161.84,98.81,97.01,99.4,131.21,121.3,124.29,15.64,18.93,98.19,9.61,,98.17,9.19,18.19,34.04,"27,990",-81.42,-25.46,"1,066,786",5.23,7.37,345,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
208,DAY,"Dayforce, Inc.",68.9,73.59,50.47,0.5,-0.5,28.84,57.91,37.93,96.26,98.01,48.1,43.79,31.79,-4.59,-10.19,19.26,-20.3,,5.0,0.0,-27.74,18.67,696,-26.19,-74.36,"33,757",-0.03,-0.04,34,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF
71,ETSY,"Etsy, Inc.",56.02,61.28,49.05,0.5,4.83,37.29,51.84,44.42,96.01,91.87,48.84,46.32,58.1,1.26,-8.09,53.59,-2.38,,52.27,-9.41,7.09,-9.05,"21,722",-22.23,43.55,"356,986",0.73,-3.84,310,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#F87171,#10B981,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#F87171,#FFFFFF
356,AORT,"Artivion, Inc.",42.45,70.4,48.93,0.5,0.63,24.52,51.55,34.9,95.76,97.92,43.52,39.25,69.7,-11.99,5.97,,,,,,,-20.77,106,0.95,-12.4,517,0.0,-2.08,14,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF
147,DDD,3D Systems Corporation,2.1,111.42,107.02,0.5,0.73,61.21,111.2,87.33,95.26,93.11,101.41,100.19,103.6,0.29,3.4,100.41,,,92.77,-6.29,2.86,3.42,"2,203",-26.22,-13.27,"87,867",-0.13,2.9,57,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF
321,WK,Workiva Inc.,77.18,93.16,58.44,0.5,1.49,26.38,64.01,39.28,94.51,97.57,56.65,50.66,74.92,-3.0,39.01,54.46,-2.94,,29.7,0.42,-34.43,-16.48,296,1.37,10.04,"2,943",0.0,1.9,44,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#10B981,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
243,HAE,Haemonetics Corporation,54.24,93.88,56.21,0.5,0.07,25.21,59.07,34.9,94.51,99.72,50.9,46.76,62.52,9.59,16.77,48.46,7.56,,40.79,-4.55,-3.25,-6.31,"1,112",7.34,-36.02,"16,663",0.05,-1.52,48,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF
367,MLAB,"Mesa Laboratories, Inc.",61.59,103.9,70.64,0.5,0.01,44.73,74.42,54.95,94.51,99.73,63.09,60.89,,,,,,,,,,,N/A,,,N/A,,,N/A,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
92,SABR,Sabre Corporation,1.77,131.45,88.2,0.5,-1.81,50.55,104.24,70.9,94.51,90.62,86.3,80.91,96.14,-17.1,10.41,91.42,-11.04,,,,,-7.94,"11,159",-3.34,0.28,"236,781",0.53,2.12,79,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
301,ZD,"Ziff Davis, Inc.",38.27,71.76,53.1,0.5,-3.04,29.12,60.96,40.66,94.26,94.63,51.56,48.93,81.61,17.76,23.39,66.98,4.7,,49.01,14.55,17.26,-28.51,909,-3.91,-48.88,"4,862",0.06,0.66,36,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
215,BLMN,"Bloomin' Brands, Inc.",6.91,119.13,91.39,0.5,-0.56,28.95,98.44,53.27,94.01,96.51,85.18,77.11,75.33,3.02,1.22,69.26,-5.76,,56.14,-7.82,-7.62,16.06,"1,314",-15.5,-11.04,"31,534",-0.44,2.48,43,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#F87171,#F87171,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF
108,FLR,Fluor Corporation,40.71,98.43,64.88,0.5,0.17,27.36,71.26,43.0,93.77,97.21,62.07,57.35,53.81,-4.97,-0.23,56.15,,,55.53,6.3,2.03,11.08,"5,819",-14.75,-46.49,"169,286",1.54,5.9,159,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
272,GWRE,"Guidewire Software, Inc.",255.96,57.94,43.6,0.5,35.12,22.38,46.45,34.8,93.27,90.53,42.65,41.79,54.04,4.2,3.97,49.54,3.84,,33.95,-3.68,-18.42,-10.44,"4,209",-11.91,180.6,"11,063",8.39,121.13,120,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
97,XRX,Xerox Holdings Corporation,3.72,86.45,77.88,0.5,-1.09,36.03,89.05,52.76,93.27,96.47,73.19,67.58,97.42,0.75,11.72,,,,,,,-19.55,"2,190",31.53,7.72,"216,575",0.16,0.82,45,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
251,LNTH,"Lantheus Holdings, Inc.",55.07,105.32,76.13,0.5,0.54,43.09,78.1,61.69,93.27,93.44,65.99,63.81,70.88,3.56,11.0,61.91,2.76,,55.09,5.99,14.94,5.25,"1,808",-3.83,-3.06,"14,668",1.99,8.43,163,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
224,RNG,"RingCentral, Inc.",31.76,85.48,54.18,0.5,0.08,39.07,60.78,45.98,93.02,95.94,51.28,48.32,58.59,13.24,-12.39,52.35,-2.56,,48.02,17.55,8.9,-4.41,"1,946",-3.57,6.05,"25,384",0.2,2.82,72,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
367,CABO,"Cable One, Inc.",162.23,66.23,108.86,0.5,0.53,36.7,110.3,58.43,92.52,97.16,88.95,78.82,,,,,,,,,,,N/A,,,N/A,,,N/A,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
145,CHTR,"Charter Communications, Inc.",263.35,30.17,47.69,0.5,-0.19,28.46,52.19,40.27,92.02,94.26,42.85,42.12,56.24,3.4,5.73,63.08,1.45,,43.45,-3.72,-3.45,-8.55,"16,318",-23.13,-19.25,"89,654",1.42,8.61,427,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
25,WOLF,"Wolfspeed, Inc.",1.82,130.9,285.83,0.5,2.81,69.77,308.23,144.56,91.77,97.04,244.65,223.66,264.96,6.56,24.57,309.68,19.96,,428.07,,,20.87,"137,860",-57.57,314.58,"1,233,555",18.36,20.78,124,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
