Ticker,Normalized 3m,Normalized 6m,Normalized 1y
SATS,20.67,31.58,25.92
OPEN,9.95,18.17,32.24
TPIC,3246.75,2520.26,9051.95
IONS,56.2,51.09,75.05
GPRO,51.5,41.32,75.45
MNKD,70.42,93.47,110.71
RUN,54.27,38.74,107.86
DAY,88.03,75.73,82.45
ETSY,107.46,79.26,93.45
AORT,68.43,55.17,57.36
DDD,87.62,120.95,97.14
ZD,88.42,101.07,124.09
SABR,164.41,181.36,160.45
HAE,131.84,121.55,134.09
WK,87.86,110.21,95.04
MLAB,169.28,197.85,194.86
BLMN,118.18,114.12,220.23
FLR,122.3,85.83,108.45
XRX,149.02,151.39,253.65
LNTH,146.63,180.3,182.68
GWRE,97.96,68.76,65.67
RNG,84.54,82.87,87.28
CABO,82.89,145.69,203.83
CHTR,151.81,131.16,123.35
WOLF,78.57,280.77,417.03
ENOV,106.89,114.81,137.86
SRPT,214.34,557.65,723.87
MTH,82.49,86.64,117.48
INVA,105.9,86.17,95.44
MP,40.6,38.61,21.52
AMPH,88.82,89.46,151.86
MIDD,105.79,106.5,95.05
IART,83.15,144.33,113.87
GMED,102.91,117.94,118.52
ENPH,119.35,152.9,271.59
SEDG,69.34,50.13,59.72
PAR,139.46,125.71,112.16
MODG,85.54,67.58,112.6
NEO,99.62,121.12,192.62
SPB,97.44,124.0,156.48
CFLT,120.69,129.26,99.95
DOCN,84.15,102.91,113.29
WIX,93.09,103.47,93.63
LCID,112.43,104.69,178.44
CHGG,101.29,50.32,116.13
NSIT,105.21,119.15,158.83
IIIV,79.77,74.74,68.46
BOX,107.06,90.4,96.96
DVAX,102.62,138.0,109.58
PEP,89.9,101.54,119.89
CYTK,64.29,86.21,108.41
KHC,97.63,109.91,127.94
TTGT,123.99,227.53,401.86
HALO,70.79,80.27,77.88
LIVN,79.53,65.67,80.19
FARO,96.73,64.06,37.12
PLUG,97.87,117.02,121.28
SKIN,65.16,54.92,55.33
ARRY,98.11,76.52,75.88
RPAY,86.41,92.95,133.72
BHR,85.27,99.52,91.01
PRGS,147.03,125.12,131.02
ATI,112.03,66.77,79.09
GPN,91.33,105.44,125.26
HLX,116.42,129.23,157.8
VREX,75.24,107.94,88.27
IRWD,64.86,136.04,358.56
VERI,40.1,60.94,75.26
WGO,93.96,95.97,153.62
RTX,93.04,84.34,78.27
NBR,85.44,97.47,168.67
MRK,93.99,109.88,131.95
MCHP,106.73,78.96,113.12
NOG,123.64,111.02,131.84
HUBS,114.19,119.12,98.45
NRG,97.65,59.32,50.39
PCG,95.95,109.2,131.67
BTU,74.34,69.68,110.36
PR,103.1,92.07,92.56
INN,83.38,95.42,106.91
RIG,101.91,90.76,132.48
VSH,103.58,108.66,114.54
NMFC,99.65,98.59,102.67
JAZZ,85.97,105.85,82.83
