Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%)
358,COLL,"Collegium Pharmaceutical, Inc.",37.75,45.96,33.77,0.71,-12.76,33.0,42.45,38.67,8.0,6.0,38.82,38.3,47.22,,,45.27,,,45.27,,,-13.45,82,0.0,-7.87,345,-4.7,-4.7
233,REXR,"Rexford Industrial Realty, Inc.",42.98,29.64,25.73,0.41,-15.64,25.34,35.51,32.26,6.67,1.77,31.25,30.86,54.73,,76.5,40.56,,,29.47,,,-29.0,708,-6.1,-8.76,"19,733",5.01,6.94
311,NOTV,"Inotiv, Inc.",1.6,84.37,105.82,0.46,-31.16,105.82,177.74,153.45,0.67,0.33,143.64,137.94,140.78,,,,,,,,,-34.96,375,1.9,10.62,"3,544",-1.83,-1.72
321,IRWD,"Ironwood Pharmaceuticals, Inc.",1.13,102.62,111.35,-11.84,-12.39,105.61,140.93,119.91,33.33,17.65,121.63,110.0,181.27,,,147.99,,,,,,-69.92,315,0.32,242.39,"2,723",-1.09,1.11
277,GWRE,"Guidewire Software, Inc.",261.88,57.49,43.41,0.49,23.3,32.43,46.45,40.28,81.33,80.73,42.54,41.78,37.14,,-28.26,45.58,,,,,,6.27,"6,771",7.68,875.65,"8,845",9.09,84.42
157,DBX,"Dropbox, Inc.",30.34,23.79,21.68,0.56,-14.73,21.56,41.58,35.23,1.33,1.91,33.31,31.38,30.72,,,,,,,,,-9.03,"3,940",-29.45,35.91,"75,136",0.19,9.94
51,JBLU,JetBlue Airways Corporation,5.18,56.48,57.34,0.59,-17.37,57.29,94.05,83.62,1.33,0.04,77.64,76.64,92.92,,,77.75,,,,,,-35.57,"10,889",-34.15,31.05,"574,775",0.61,7.31
248,CMI,Cummins Inc.,397.4,23.29,24.66,0.62,-20.01,23.79,38.53,33.11,8.0,4.92,31.83,29.75,29.59,,46.86,30.32,,0.76,,,,-4.93,"5,484",-0.71,-3.4,"15,436",0.53,1.47
342,NVST,Envista Holdings Corporation,21.15,46.69,39.86,0.55,-9.1,36.97,48.23,43.91,20.67,13.15,43.28,42.08,46.2,,42.83,47.74,,,47.74,,,-6.34,214,0.0,0.47,"1,070",0.19,0.09
303,PAR,PAR Technology Corporation,48.0,75.41,49.66,0.5,-8.1,39.2,56.66,47.73,71.33,67.51,51.07,48.23,46.57,,-51.05,38.53,,,,,,3.09,663,-4.6,-0.3,"4,220",0.05,0.57
