Ticker,Normalized 3m,Normalized 6m,Normalized 1y
SATS,35.63,37.91,37.12
CABO,73.83,149.97,193.72
TPIC,4241.38,2879.31,15068.97
INVA,110.96,89.3,101.91
IONS,60.36,53.67,67.7
GPRO,37.3,36.09,57.94
OPEN,6.5,13.45,26.46
MNKD,70.95,97.21,122.16
MLAB,142.81,191.89,187.83
ETSY,93.08,75.93,91.05
AORT,75.08,61.75,63.75
ZD,82.88,109.28,134.15
RUN,37.75,40.58,125.06
DAY,81.42,84.7,85.41
DDD,63.09,110.73,112.45
SABR,139.78,188.17,173.66
LNTH,151.96,187.98,203.04
HAE,137.32,125.44,150.02
WK,84.13,110.19,97.12
BLMN,129.02,110.03,239.64
NEO,86.98,123.4,203.88
RNG,87.18,86.19,96.25
FLR,122.68,92.33,113.29
XRX,143.32,142.67,255.06
WOLF,35.22,254.66,348.18
GWRE,100.16,77.74,70.22
ENOV,92.02,117.29,128.21
CHGG,96.0,48.0,120.67
SRPT,114.75,409.39,694.42
CHTR,144.56,139.35,129.98
MP,56.41,39.25,21.54
AMPH,93.85,104.78,180.15
MTH,81.82,91.61,131.6
SPB,97.34,129.34,168.58
PAR,148.44,145.54,134.39
MIDD,105.26,114.64,103.34
IIIV,82.27,79.72,72.0
TVTX,63.29,90.16,63.24
NSIT,111.46,128.07,176.68
MODG,86.99,70.24,106.87
SEDG,51.28,51.43,68.02
ENPH,93.31,157.84,304.0
GMED,99.19,127.23,119.88
CFLT,122.53,135.69,106.5
DOCN,76.55,101.54,112.77
BOX,107.69,93.39,102.8
CYTK,65.78,91.3,112.86
LCID,112.58,122.72,191.68
IART,80.31,151.65,115.71
WIX,89.04,96.81,89.97
PEP,91.28,101.75,121.61
HALO,70.07,85.91,81.65
DVAX,106.19,142.47,116.08
PLUG,67.86,91.07,124.4
LIVN,82.23,71.87,92.85
FARO,99.52,64.13,40.05
RPAY,80.56,100.53,144.83
TTGT,103.82,219.08,380.0
ARRY,97.54,73.61,93.27
BHR,85.53,90.71,99.84
KHC,97.6,110.54,127.91
PCG,93.95,112.54,132.18
LRN,104.0,87.55,58.85
VERI,37.8,73.99,102.95
SKIN,60.33,54.13,67.77
MRK,97.78,113.68,142.05
PRGS,149.63,129.26,138.07
WGO,93.26,101.45,169.66
NMFC,105.93,109.07,112.61
IRWD,53.85,108.46,344.62
BTU,69.32,67.67,108.85
VREX,65.95,108.08,95.53
HLX,110.36,135.16,157.3
STX,61.86,41.59,47.03
CBRL,114.83,78.05,81.07
KOS,119.23,124.18,240.11
NOG,119.35,113.29,132.49
ATI,103.41,65.48,77.82
EVH,100.12,110.88,353.47
NBR,81.08,104.47,163.63
PR,109.71,101.88,100.48
RIG,89.05,91.93,134.58
INN,81.53,92.0,105.55
NRG,92.7,60.89,48.76
AAL,85.25,91.78,90.01
VSH,101.64,110.2,119.18
JAZZ,85.54,109.66,88.15
MCHP,104.81,79.08,116.06
MDB,62.36,58.81,87.61
HCAT,126.74,153.12,302.08
PEB,82.96,88.66,114.31
EZPW,77.27,83.04,65.09
GPRE,54.75,51.65,129.55
GES,68.22,67.66,107.99
IDCC,69.3,66.79,41.47
CNMD,98.75,112.67,140.43
GPN,90.35,114.77,131.89
CYBR,81.62,73.91,57.34
SPOT,100.87,85.21,48.6
HUBS,108.34,120.64,97.96
TWO,103.81,127.79,122.48
FRPT,132.74,160.36,255.99
ECPG,85.77,78.07,110.35
SLB,100.92,114.43,114.33
JAMF,81.89,116.34,153.36
ON,105.45,88.34,144.11
GOSS,40.31,43.44,28.09
CSIQ,86.81,81.57,115.15
PI,53.74,46.58,96.7
BABA,69.96,81.93,51.35
GBX,97.57,114.72,103.97
TTWO,96.27,86.17,61.64
SE,82.35,66.68,42.49
IMCR,93.77,88.18,100.28
TYL,106.36,105.93,108.36
MMSI,112.41,122.97,119.13
XYZ,83.25,80.64,88.85
EEFT,112.05,120.95,111.77
SPHR,64.68,54.0,68.99
XMTR,64.21,50.27,38.1
INSM,68.71,55.21,50.61
DBRG,85.2,77.92,118.68
DDOG,96.62,78.04,83.16
V,99.93,98.38,85.15
KRG,101.03,97.34,115.16
NICE,113.1,107.25,111.34
NEE,101.71,99.92,118.01
POST,109.29,108.2,111.22
PD,89.47,118.43,110.78
NVST,88.2,78.96,90.05
KPTI,70.93,102.56,179.71
U,52.07,46.93,44.93
BE,29.34,32.68,13.77
TEVA,91.33,86.19,95.56
MCS,106.83,108.07,91.48
CYRX,75.42,63.29,93.33
PODD,90.87,80.79,70.92
PRO,96.06,137.42,122.75
BTSG,82.58,66.61,54.02
DXCM,105.83,96.41,90.06
RPD,119.87,144.12,174.43
UNIT,103.1,125.78,132.08
FRT,94.6,93.03,110.92
MITT,93.1,93.54,91.04
AWK,102.97,102.38,107.45
IBM,109.24,93.44,80.87
TNDM,164.16,163.23,346.42
PTCT,84.49,95.73,58.75
RKLB,58.95,40.09,15.18
AMZN,90.8,83.83,79.85
APLS,74.56,101.34,149.16
GKOS,124.27,124.18,147.64
TRIP,72.2,82.45,77.08
PATK,83.12,78.5,85.22
VAC,87.28,83.53,90.94
VECO,75.54,79.01,115.5
EQX,59.0,64.77,58.24
NIO,48.72,64.1,77.07
CHEF,92.79,80.01,62.83
GEO,109.66,128.09,58.26
RH,81.97,104.98,143.37
VNET,56.73,90.82,31.28
OMER,79.9,225.81,99.26
INDI,84.47,58.68,100.26
ABBV,85.04,95.4,86.36
EQT,118.5,105.23,65.73
AXON,102.68,74.6,50.96
NKE,81.38,92.29,108.44
VERX,139.18,139.93,141.54
SPCE,91.16,125.0,212.5
TCOM,73.83,83.87,60.62
EVRG,92.75,92.71,83.36
RTX,91.58,82.68,73.4
CTO,110.45,113.06,110.75
MKSI,77.72,74.15,91.38
AKAM,103.04,106.1,128.14
CDLX,116.99,162.09,241.83
XOM,97.79,98.88,96.09
CNX,112.28,103.66,93.14
QD,69.88,68.43,45.54
MTN,102.77,104.97,116.28
MDRX,91.75,92.78,201.03
GVA,82.21,70.13,71.26
