Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d,IV_mid_binomial
QD,QD260220P00002500,Put,2026-02-20,2.5,0.6258796433538526,0.0,0.8,100.0,370,3.85,3.96,3.9050000000000002,,2026-02-20,0.4188911704312115,3.994378194829032,-0.468597189379956,,,,,,,,,,0.5278864749452336,
QD,QD260220C00007500,Call,2026-02-20,7.5,1.877638930061558,0.0,0.15,6.0,520,3.85,3.96,3.9050000000000002,,2026-02-20,0.4188911704312115,3.994378194829032,0.6300150992881538,,,,,,,,,,0.5278864749452336,
QD,QD250919C00005000,Call,2025-09-19,5.0,1.2806139851938452,0.0,0.5,1.0,562,3.85,3.96,3.9050000000000002,,2025-09-19,-0.0027378507871321013,3.9043771642421627,0.2473396388564933,,,,,,,,,,0.5278864749452336,
QD,QD251121P00002500,Put,2025-11-21,2.5,0.6338634471493562,0.0,0.05,10.0,1118,3.85,3.96,3.9050000000000002,,2025-11-21,0.1697467488021903,3.944067150808476,-0.4559217307883498,,,,,,,,,,0.5278864749452336,
QD,QD251121C00005000,Call,2025-11-21,5.0,1.2677268942987123,0.0,0.2,1.0,5939,3.85,3.96,3.9050000000000002,,2025-11-21,0.1697467488021903,3.944067150808476,0.2372254497715955,,,,,,,,,,0.5278864749452336,
QD,QD260220C00005000,Call,2026-02-20,5.0,1.2517592867077052,0.3,0.4,1.0,3028,3.85,3.96,3.9050000000000002,0.6595630977616652,2026-02-20,0.4188911704312115,3.994378194829032,0.22454999117998933,,,,,1.2494411754536667,,,,,0.5278864749452336,
QD,QD251017P00005000,Put,2025-10-17,5.0,1.274907168402133,1.05,1.2,2.0,722,3.85,3.96,3.9050000000000002,0.7512479031660461,2025-10-17,0.07392197125256673,3.921854174109478,0.2428733668633122,,,,,1.423123983701203,,,,,0.5278864749452336,
QD,QD260220P00005000,Put,2026-02-20,5.0,1.2517592867077052,1.25,1.4,10.0,1114,3.85,3.96,3.9050000000000002,0.6510938034882122,2026-02-20,0.4188911704312115,3.994378194829032,0.22454999117998933,,,,,1.2333973958240947,,,,,0.5278864749452336,
QD,QD260220C00002500,Call,2026-02-20,2.5,0.6258796433538526,1.5,1.7,5.0,4953,3.85,3.96,3.9050000000000002,0.7665020392366734,2026-02-20,0.4188911704312115,3.994378194829032,-0.468597189379956,,,,,1.4520206059763046,,,,,0.5278864749452336,
QD,QD250919P00005000,Put,2025-09-19,5.0,1.2806139851938452,1.05,1.15,17.0,1230,3.85,3.96,3.9050000000000002,,2025-09-19,-0.0027378507871321013,3.9043771642421627,0.2473396388564933,,,,,,,,,,0.5278864749452336,
QD,QD251121C00002500,Call,2025-11-21,2.5,0.6338634471493562,1.4,1.55,10.0,5604,3.85,3.96,3.9050000000000002,0.8329498026212832,2025-11-21,0.1697467488021903,3.944067150808476,-0.4559217307883498,,,,,1.577895707041365,,,,,0.5278864749452336,
