Ticker,Normalized 3m,Normalized 6m,Normalized 1y
SATS,34.98,36.85,35.8
CABO,74.17,148.14,197.08
IONS,61.16,53.8,69.25
INVA,108.36,89.11,100.83
TPIC,4145.45,3036.36,15890.91
OPEN,5.24,11.75,21.55
GPRO,39.31,36.41,58.01
MNKD,69.94,96.85,123.56
ETSY,92.64,74.41,89.08
MLAB,146.73,191.33,192.39
AORT,75.72,61.15,62.5
RUN,39.16,41.42,127.59
ZD,81.93,109.02,137.7
DAY,82.69,85.51,86.51
SABR,142.93,190.22,176.09
DDD,61.16,115.18,115.62
WK,80.35,107.18,94.95
HAE,142.3,128.13,151.37
LNTH,155.76,192.19,212.71
BLMN,138.98,111.67,232.12
XRX,145.63,145.78,265.14
NEO,86.31,121.58,199.26
FLR,123.05,93.36,113.81
WOLF,33.09,231.25,306.62
CHGG,97.16,51.06,124.11
CHTR,144.16,135.74,126.72
ENOV,93.71,121.63,135.82
SRPT,117.77,434.6,733.2
RNG,84.69,85.29,95.4
AMPH,91.03,104.86,184.51
MTH,84.69,92.65,131.91
MP,56.49,38.77,21.13
SPB,97.93,129.9,169.37
MODG,90.72,73.69,115.72
GWRE,96.28,77.57,69.83
IIIV,80.72,81.21,71.77
MIDD,105.63,115.27,104.27
GMED,102.93,130.9,123.78
TVTX,60.51,86.81,60.68
NSIT,110.17,129.11,175.67
ENPH,92.59,158.94,309.25
SEDG,48.43,49.93,63.59
PAR,147.98,144.15,131.75
CFLT,118.95,135.34,103.78
BOX,104.8,92.76,101.07
LCID,107.56,118.86,178.78
CYTK,68.19,95.52,117.62
IART,78.38,151.96,118.45
DOCN,75.48,101.77,112.5
PLUG,55.5,76.5,105.0
DVAX,104.39,144.41,117.14
WIX,87.25,95.22,88.15
HALO,69.66,85.95,82.19
FARO,99.39,64.13,40.92
LIVN,83.46,72.4,93.65
RPAY,81.95,101.59,147.79
BHR,82.89,90.71,97.96
PCG,91.75,111.5,128.65
LRN,105.29,88.03,59.13
VERI,31.71,67.32,88.29
SKIN,67.36,54.81,63.18
TTGT,100.74,211.96,364.7
KHC,98.82,111.4,129.27
WGO,94.52,103.11,170.78
MRK,97.44,113.61,142.39
NMFC,107.22,110.09,113.75
PRGS,149.3,129.87,137.25
CBRL,119.73,80.6,82.17
BTU,62.84,65.22,104.63
HLX,113.56,135.8,155.21
KOS,121.91,126.97,241.01
ARRY,94.63,72.76,87.34
NOG,118.99,112.93,132.45
GPRE,59.0,55.46,139.65
NBR,80.5,107.41,163.42
VREX,66.81,108.36,95.09
ATI,105.18,66.34,79.4
PEP,90.5,100.88,119.44
EVH,108.31,112.18,361.12
INN,83.03,93.12,106.99
NRG,92.06,60.76,49.03
PR,108.63,100.6,99.08
VSH,100.4,110.34,118.76
RIG,85.59,93.82,134.41
STX,61.06,41.15,46.02
JAZZ,82.99,107.12,84.58
AAL,85.1,91.27,88.38
HCAT,128.11,156.94,311.03
MDB,63.89,61.05,88.82
CNMD,103.39,117.72,149.09
IDCC,69.32,66.05,40.82
GES,71.62,67.7,108.56
PEB,80.51,86.86,113.42
GPN,89.78,113.35,129.31
TWO,100.5,127.15,121.69
CYBR,79.78,73.26,55.82
GOSS,48.16,46.49,30.47
FRPT,138.77,162.19,263.8
EZPW,77.62,83.48,63.91
SPOT,100.03,84.83,48.64
ECPG,86.45,77.92,109.85
IRWD,54.69,110.16,353.13
BABA,68.01,79.97,49.96
SLB,102.2,115.91,115.58
GBX,99.9,116.85,107.7
V,97.62,96.62,82.75
HUBS,105.36,119.51,99.3
ON,106.06,87.91,141.85
IMCR,93.79,89.21,103.07
SE,82.08,67.46,44.09
MCHP,104.13,77.48,112.77
MMSI,111.22,122.95,119.36
EEFT,112.56,121.61,112.4
SPHR,62.74,52.24,65.1
INSM,70.92,55.2,50.33
KRG,101.71,97.7,115.83
XYZ,83.99,80.72,88.15
JAMF,79.25,114.82,156.5
XMTR,62.81,49.79,37.28
NICE,109.26,105.34,109.51
POST,109.35,108.41,111.93
NEE,100.95,99.23,116.25
DBRG,84.64,78.19,118.41
BE,27.3,30.06,12.73
NVST,90.04,79.41,91.42
PRO,88.2,129.97,112.37
CSIQ,81.25,80.84,118.91
PD,87.44,118.66,110.05
MCS,107.63,108.68,91.32
TTWO,95.15,85.21,61.2
KPTI,72.04,105.59,181.83
APLS,76.48,104.37,154.04
TEVA,92.22,87.6,97.28
U,50.63,47.29,44.37
FRT,95.05,93.61,111.51
BTSG,81.28,65.88,54.27
