Ticker,Normalized 3m,Normalized 6m,Normalized 1y
SATS,21.08,32.72,27.4
OPEN,9.81,19.45,35.15
TPIC,3439.49,3407.64,11878.98
GPRO,48.77,43.74,77.91
IONS,55.61,51.5,66.45
MNKD,66.61,93.36,110.05
RUN,61.73,40.12,118.21
ETSY,96.84,78.95,89.8
AORT,68.84,58.77,59.28
DAY,82.86,80.4,84.05
ZD,84.12,110.0,129.43
MLAB,162.74,211.15,199.58
DDD,79.25,122.64,103.3
WK,86.92,115.76,93.64
RNG,84.66,88.15,91.41
HAE,130.59,122.08,134.99
SABR,152.91,193.6,173.84
BLMN,114.54,119.34,216.82
LNTH,148.25,192.57,194.19
FLR,116.73,89.0,107.42
GWRE,100.06,73.44,66.42
XRX,141.87,155.31,254.04
CABO,83.05,142.7,194.98
INVA,109.16,87.52,97.63
CHTR,147.8,133.65,124.49
WOLF,87.76,397.96,554.42
ENOV,104.73,121.63,141.46
SRPT,210.1,564.4,745.59
MTH,81.51,88.49,119.51
MP,48.93,42.97,22.17
AMPH,90.92,93.87,158.7
SPB,95.34,131.01,161.22
PAR,136.38,128.71,117.93
MIDD,102.37,109.97,93.83
ENPH,122.84,156.6,297.93
IART,79.01,145.22,114.36
GMED,100.79,121.56,118.53
IIIV,75.7,77.59,71.43
NEO,94.52,131.28,218.05
SEDG,79.2,54.79,65.81
MODG,83.5,66.56,99.68
WIX,90.89,105.21,93.15
CHGG,81.82,47.88,116.36
DOCN,78.33,105.76,116.15
CFLT,118.19,131.73,97.4
NSIT,104.27,120.49,157.32
BOX,108.78,95.54,101.13
LCID,108.02,107.51,204.73
CYTK,66.12,85.31,103.4
PEP,90.83,102.03,118.63
TTGT,125.13,233.27,416.81
TVTX,53.09,72.24,44.82
HALO,71.21,82.15,78.35
LIVN,80.96,69.43,83.95
DVAX,105.66,142.7,112.24
FARO,96.59,66.9,39.4
PLUG,89.58,115.28,134.72
ARRY,97.19,74.24,80.59
RPAY,84.45,100.18,138.87
KHC,96.44,110.14,124.88
BHR,80.89,97.53,93.25
GPN,87.71,110.41,127.18
PRGS,147.72,130.29,135.01
PCG,89.22,109.6,128.12
HLX,113.54,126.27,148.25
WGO,92.71,103.79,157.76
ATI,111.23,67.39,80.35
VERI,38.46,71.7,82.69
NBR,82.15,102.57,153.36
NOG,122.84,110.62,124.86
RTX,93.58,83.07,75.43
VREX,74.73,114.05,104.38
NRG,94.06,58.78,48.9
IRWD,53.91,129.57,378.26
HUBS,113.37,124.53,101.77
EVH,89.99,102.39,328.07
RIG,102.47,93.83,125.31
BTU,73.35,71.37,110.08
NMFC,97.99,100.4,103.38
SKIN,66.52,57.39,62.17
INN,79.99,97.32,106.82
KOS,129.31,128.16,222.41
MDB,61.41,55.36,88.6
VSH,98.57,109.61,115.78
STX,65.58,44.93,51.67
HCAT,116.41,126.99,243.87
MRK,96.28,110.47,132.05
MCHP,100.83,81.44,116.22
JAZZ,85.5,108.72,82.84
CBRL,105.48,81.05,72.75
PR,103.94,93.84,88.89
AAL,80.89,84.79,84.01
GPRE,57.64,53.31,126.45
EZPW,78.44,80.11,64.8
LRN,90.65,76.79,49.17
GES,67.05,54.99,105.76
CNMD,101.4,110.99,137.08
ECPG,88.34,79.42,105.42
SPOT,100.96,81.64,47.81
V,104.17,97.8,83.4
CYBR,82.48,72.4,56.68
KPTI,70.69,108.7,177.54
SLB,99.59,111.82,106.24
PEB,78.11,93.18,108.87
IDCC,73.07,72.37,43.83
TWO,102.54,125.34,116.55
FRPT,139.06,164.46,257.67
ON,106.0,89.74,146.64
CSIQ,101.99,87.11,127.76
TTWO,94.34,83.83,62.42
AMZN,92.09,85.94,80.11
PI,54.94,47.55,95.06
NICE,116.65,101.82,114.14
GBX,97.82,117.64,96.7
XYZ,83.48,77.59,85.94
BABA,78.42,96.4,57.95
TYL,106.19,103.2,107.42
EEFT,119.82,113.78,108.12
SE,79.97,66.01,40.38
NEE,104.46,101.91,113.9
MITT,91.68,91.81,85.68
XMTR,62.43,51.34,35.85
XOM,98.74,97.65,94.13
INSM,67.66,52.46,49.86
EQT,110.74,98.53,63.41
SPHR,69.96,57.7,76.46
MMSI,104.71,111.43,109.42
DDOG,86.57,73.17,78.72
KRG,97.36,93.81,109.88
FRT,93.76,93.56,110.95
PODD,90.23,75.66,67.45
PD,90.21,115.31,110.79
GOSS,39.87,46.62,28.62
NVST,88.83,80.16,84.93
BTSG,75.43,62.04,48.15
TEVA,86.82,83.44,91.77
U,54.9,48.19,39.95
RPD,120.8,143.76,174.68
RH,82.61,98.31,107.9
AWK,101.54,102.99,103.69
DXCM,107.88,93.01,90.09
BE,34.86,38.87,16.9
IBM,107.19,95.4,79.46
MCS,109.78,103.5,91.57
EVRG,94.07,92.38,80.6
UNIT,99.43,120.04,129.01
SPCE,95.85,103.19,199.36
IMCR,95.26,79.11,90.59
CHEF,95.39,81.41,60.52
AXON,104.43,74.41,48.39
CYRX,69.55,66.84,81.23
MKSI,80.64,77.68,100.51
EQX,59.96,62.76,52.61
TRIP,74.89,77.93,75.06
GKOS,111.52,116.76,143.4
VECO,80.98,85.14,120.25
PTCT,87.88,93.43,55.32
XIFR,90.08,89.67,246.71
MGNI,71.58,52.74,54.12
TNDM,167.83,154.97,345.43
ABBV,89.51,98.3,88.77
OMER,79.63,197.19,86.18
PEGA,87.5,63.67,58.19
INDI,80.15,58.79,85.93
NKE,81.1,95.38,103.3
GEO,115.59,124.98,58.92
VNET,68.6,146.91,37.33
RKLB,55.04,40.74,14.47
GVA,82.02,68.07,66.66
APLS,72.31,94.7,147.31
PATK,80.26,76.14,75.6
VRNT,84.46,106.98,127.69
VAC,84.86,86.11,86.86
AKAM,100.36,105.19,125.94
MSFT,94.77,77.39,83.92
LUV,100.84,100.84,90.55
TCOM,82.73,85.14,64.9
RWT,88.83,96.91,106.91
CTO,105.76,107.01,102.36
CNX,111.54,104.17,92.28
PRO,104.37,136.31,112.43
MTN,103.33,107.42,116.07
FOUR,103.64,98.71,90.63
POST,107.11,107.11,109.07
DBRG,92.39,85.41,116.94
VERX,154.67,140.72,147.67
PANW,99.46,92.4,86.6
HLF,84.71,86.65,77.61
PPL,94.69,96.7,87.16
AEIS,78.04,67.43,61.14
AR,126.82,114.37,80.64
CVX,91.45,97.23,83.59
QD,71.12,66.26,44.66
REAL,55.86,63.18,27.25
MDRX,94.74,110.53,208.21
BMY,104.14,122.2,98.42
JAMF,96.83,134.66,178.22
ALNY,65.63,51.51,55.81
BILL,78.22,87.7,98.7
FIVN,105.42,116.61,108.11
DIS,101.42,84.83,75.62
SHOP,74.08,66.7,50.3
CMI,78.44,78.53,70.92
CMS,98.31,100.67,94.31
PSEC,112.88,141.94,165.24
PMT,98.52,110.04,98.59
XERS,55.7,61.72,36.62
BAND,90.65,97.83,107.31
BYND,126.91,136.14,248.19
PSN,93.29,77.88,127.26
QTWO,104.35,92.4,86.8
CDLX,161.32,263.89,351.5
OKTA,108.06,124.76,81.3
TTEK,100.94,81.36,130.04
MIRM,66.27,59.13,55.97
WELL,90.27,87.16,75.14
ARAY,78.71,118.06,127.1
NIO,61.36,85.66,97.9
UPWK,86.93,79.2,57.83
REXR,84.72,91.51,112.67
BURL,81.83,81.72,95.62
ITGR,115.45,115.05,121.26
ATEC,72.05,60.52,35.5
FE,92.34,90.23,97.95
GTLS,72.41,74.74,55.38
NVMI,79.88,78.78,72.51
W,52.78,36.51,51.18
SHEL,98.86,92.73,87.41
RCL,75.57,61.91,46.96
NVCR,143.73,159.62,141.11
BMRN,103.16,127.41,155.56
TGT,103.93,112.81,156.22
BBAI,78.65,74.63,32.77
SHAK,126.91,89.74,101.87
MTSI,97.93,82.82,76.98
LAB,82.03,89.06,154.69
CAMP,55.2,198.92,
MMM,92.25,97.02,83.15
CDP,92.68,85.84,92.12
TSLA,93.54,71.88,65.59
MTCH,79.22,80.67,91.6
WT,73.22,62.03,67.64
HRTG,104.5,62.31,68.94
CMPO,70.96,57.25,51.43
IRTC,79.02,55.3,41.1
SNAP,112.62,122.55,127.66
PRCH,58.58,32.76,6.51
DUK,95.47,97.25,92.34
EYE,95.09,51.5,45.36
ABR,86.02,100.19,101.73
ALRM,102.57,105.92,98.19
RGEN,106.06,125.28,119.27
MGPI,105.46,110.92,292.08
HOUS,63.94,53.04,76.76
PCT,85.97,58.38,51.25
LYV,80.85,69.78,56.95
CRNC,90.65,104.73,30.86
AVDL,60.53,52.69,86.34
VTR,91.51,95.19,91.6
LYFT,77.95,62.87,63.03
LPSN,73.75,106.29,114.97
GRPN,149.49,65.51,47.77
SSRM,57.85,48.79,24.26
AVGO,67.14,52.63,42.34
JPM,87.74,76.5,67.44
OMCL,91.81,103.58,135.19
STWD,94.39,91.7,85.68
MMYT,103.21,98.3,104.39
WEC,95.31,95.96,84.12
COIN,76.97,58.07,49.84
BKD,89.53,79.58,85.34
SOFI,55.21,47.37,28.64
LNT,94.71,96.8,89.23
EB,89.26,84.07,112.59
NCLH,69.92,75.46,73.54
CAKE,96.79,78.02,60.57
ENVX,89.84,83.61,97.81
INSG,52.64,73.15,123.3
NTNX,93.49,90.05,78.13
TDOC,91.59,115.09,97.46
IQ,66.54,90.38,76.54
CHRS,58.17,70.23,101.53
OPK,94.33,123.4,110.64
ZTO,90.46,101.49,111.56
NVAX,87.19,100.38,154.4
AMD,72.81,63.29,93.93
TMDX,132.55,63.58,133.42
NOTV,159.71,214.39,102.88
CMRC,105.53,132.08,125.66
SIRI,88.28,92.84,113.53
FSLY,95.38,93.07,80.43
CNK,117.97,88.79,103.03
JOYY,76.39,72.59,54.17
ASND,86.06,77.08,56.9
HCI,87.18,77.47,52.51
VATE,110.2,159.39,77.35
TREE,47.63,68.68,74.44
FUBO,80.66,80.92,44.02
WKC,109.34,108.57,107.52
UPST,83.34,77.76,56.3
COLL,77.38,78.12,96.0
MOMO,109.25,88.2,80.58
EXPE,76.72,74.91,59.87
CCL,71.46,63.52,52.74
BL,100.75,92.97,91.09
ABNB,109.83,99.55,93.96
LITE,50.02,38.58,32.72
MITK,97.69,90.25,80.9
IMAX,93.01,77.62,66.31
LCII,85.47,86.04,104.53
SMTC,63.42,64.16,65.94
HASI,95.91,101.7,114.12
VRM,107.2,100.15,
NET,77.13,52.09,35.23
SENS,114.51,135.26,89.87
AG,88.44,70.78,54.67
UBER,89.09,75.95,74.42
FWONK,97.83,86.94,76.13
VIAV,77.14,91.93,69.92
PENN,77.66,85.02,87.71
CENX,85.2,89.18,57.13
JBLU,87.99,110.24,111.22
BB,107.94,120.11,64.81
NTRA,97.38,87.3,72.93
GDS,76.66,105.28,49.58
VRNS,87.04,71.04,90.94
BKNG,96.61,81.28,69.41
DBX,91.47,83.43,78.64
WDC,58.55,46.72,50.21
GH,87.13,75.82,43.96
AFRM,69.65,59.01,47.41
CSGS,99.34,95.06,70.3
BILI,80.91,86.64,63.16
SPR,90.73,82.41,83.07
WB,78.41,77.64,53.16
MAXN,77.92,93.65,230.96
ORA,86.59,78.68,80.45
PTON,88.66,89.81,56.31
CAMT,86.6,81.14,97.69
Z,82.1,82.35,65.29
GCI,82.93,75.37,104.39
BFH,78.88,76.26,71.93
SMCI,94.65,96.04,101.43
BSY,93.71,78.46,92.38
MSTR,117.28,91.13,39.6
ZS,108.31,70.95,58.0
SO,97.9,97.12,93.81
LAC,94.64,103.57,83.57
DKNG,79.96,82.96,84.21
ITRI,103.1,88.4,84.24
EXAS,97.72,82.16,117.07
PCRX,91.09,85.95,48.85
F,90.12,82.86,85.02
BA,88.05,71.12,70.91
RIVN,96.48,77.28,100.14
ASRT,78.24,89.42,157.72
CNP,95.69,92.79,72.14
LI,115.86,114.61,81.72
FVRR,125.77,110.33,106.76
MARA,94.83,83.1,99.56
BXMT,93.79,98.71,83.86
EGHT,83.25,102.39,85.17
HTHT,89.83,96.7,76.66
BBIO,75.11,62.25,52.85
UPHL,100.0,100.0,91750.01
DNMR,100.0,342.86,3745.14
JD,98.32,125.82,77.43
LAZR,176.49,300.6,684.82
HLIT,89.94,105.69,140.65
HOPE,90.72,92.63,103.52
PDD,80.67,98.28,76.42
