Strike,Type,Expiry,IV Slope
92.5,Call,2026-01-16,-0.9821409531036142
155.0,Call,2026-01-16,-1.0015263361943194
155.0,Call,2026-12-18,-1.5295630249502425
155.0,Call,2027-01-15,-0.9650593424194124
95.0,Call,2025-10-17,-20.114148988461267
95.0,Call,2025-12-19,-2.5761868675042345
95.0,Call,2026-01-16,-1.072409749219615
95.0,Call,2027-01-15,-0.22550239792824453
95.0,Put,2026-01-16,
70.0,Call,2025-10-17,-2.7685375348956858
70.0,Call,2025-12-19,-0.05168113890586159
70.0,Call,2026-01-16,-0.8406845252591365
70.0,Call,2026-12-18,0.12910721909474937
70.0,Call,2027-01-15,-0.8586892113477963
70.0,Put,2025-12-19,-3.4307332935860577
70.0,Put,2026-01-16,-1.2618950705117895
70.0,Put,2026-12-18,-0.19109539677084286
70.0,Put,2027-01-15,-0.032267273390062245
110.0,Call,2026-01-16,-7.726915075149873
110.0,Call,2026-12-18,-0.3682108277713184
110.0,Call,2027-01-15,6.122086949873421
90.0,Call,2025-10-17,-7.708241691562285
90.0,Call,2025-12-19,-2.5142796110423338
90.0,Call,2026-01-16,-1.3185866867408191
165.0,Call,2027-01-15,0.06192064173509225
75.0,Call,2025-10-17,-3.0756922470882477
75.0,Call,2026-01-16,-1.306114736362079
75.0,Call,2027-01-15,-0.03293164581459162
75.0,Put,2026-01-16,-2.3429227339247793
75.0,Put,2027-01-15,-0.1990011755915106
100.0,Call,2025-12-19,-8.696059220453469
100.0,Call,2026-01-16,-0.8247981583135733
100.0,Call,2026-12-18,-0.26033177490047027
100.0,Call,2027-01-15,0.17680119123752341
160.0,Call,2026-12-18,-0.4207690910461148
160.0,Call,2027-01-15,-1.6453764556424257
80.0,Call,2025-12-19,-2.4749033480356224
80.0,Call,2026-12-18,0.06228732463865604
80.0,Call,2027-01-15,-1.1716777768159916
65.0,Call,2025-10-17,-1.7756590448810232
65.0,Call,2025-12-19,0.5260395885660246
65.0,Call,2026-01-16,-0.31436611601302
65.0,Call,2026-04-17,0.0815930377195551
65.0,Call,2026-12-18,0.08317241569482865
65.0,Put,2025-12-19,-8.87321734598283
65.0,Put,2026-01-16,-0.13490939947333624
65.0,Put,2026-12-18,-0.21055047093152132
65.0,Put,2027-01-15,0.34103635975454194
85.0,Call,2025-10-17,-16.63541126917022
85.0,Call,2027-01-15,-0.46718735967818076
85.0,Put,2026-01-16,
47.5,Put,2026-01-16,-0.8904129344006975
47.5,Put,2026-12-18,-0.08276119235357643
115.0,Call,2026-12-18,-0.3612039670087741
50.0,Call,2025-10-17,
50.0,Call,2025-12-19,
50.0,Call,2026-01-16,
50.0,Call,2026-12-18,
50.0,Call,2027-01-15,0.09048074397871425
50.0,Put,2025-10-17,-4.076281441660402
50.0,Put,2025-12-19,0.3333965248073724
50.0,Put,2026-01-16,-1.3576045776206487
50.0,Put,2026-12-18,-0.0718925852070424
50.0,Put,2027-01-15,-0.14612645129569568
45.0,Call,2025-10-17,
45.0,Call,2026-01-16,
45.0,Call,2026-04-17,
45.0,Call,2027-01-15,
45.0,Put,2025-12-19,-1.8359002246739597
45.0,Put,2026-01-16,0.4470759401178548
45.0,Put,2026-12-18,-0.10243028679157402
45.0,Put,2027-01-15,0.32492636737090225
52.5,Call,2026-01-16,
52.5,Put,2026-01-16,-0.6434765839049219
52.5,Put,2026-12-18,-0.07686987020599943
60.0,Call,2025-10-17,
60.0,Call,2025-12-19,
60.0,Call,2026-01-16,0.1732137597977175
60.0,Call,2026-04-17,0.17639246112907833
60.0,Call,2026-12-18,0.10218950462252957
60.0,Call,2027-01-15,-0.32761331387136106
60.0,Put,2025-10-17,-19.413547191040006
60.0,Put,2025-12-19,-1.3093852740512353
60.0,Put,2026-01-16,-0.8494800566629042
60.0,Put,2026-04-17,-0.25884482412953563
60.0,Put,2026-12-18,-0.12619499546106436
40.0,Call,2025-10-17,
40.0,Call,2026-01-16,
40.0,Call,2026-12-18,
40.0,Call,2027-01-15,
40.0,Put,2026-12-18,-0.10964256449031567
40.0,Put,2027-01-15,-0.1675474456809019
77.5,Put,2026-01-16,
77.5,Put,2026-12-18,
125.0,Call,2027-01-15,-4.397962376535683
55.0,Call,2025-10-17,
55.0,Call,2025-12-19,
55.0,Call,2026-01-16,
55.0,Call,2026-04-17,
55.0,Call,2026-12-18,0.11643963868945797
55.0,Call,2027-01-15,0.001733377630067427
55.0,Put,2025-10-17,-4.707076634675281
55.0,Put,2025-12-19,-1.1164562243191625
55.0,Put,2026-01-16,-0.6078567694629481
55.0,Put,2027-01-15,-0.09362597247611636
130.0,Call,2026-01-16,-6.947112263562074
57.5,Call,2026-01-16,0.25993045771788276
57.5,Put,2026-01-16,-0.8174073061836596
37.5,Call,2026-01-16,
37.5,Call,2026-12-18,
62.5,Call,2026-01-16,0.04855329966106646
