Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Latest Close_Color,Realised Volatility 30d (%)_Color,Realised Volatility 100d (%)_Color,Realised Volatility 100d 1d (%)_Color,Realised Volatility 100d 1w (%)_Color,Min Realised Volatility 100d (1y)_Color,Max Realised Volatility 100d (1y)_Color,Mean Realised Volatility 100d (1y)_Color,Rvol 100d Percentile (%)_Color,Rvol 100d Z-Score Percentile (%)_Color,Realised Volatility 180d (%)_Color,Realised Volatility 252d (%)_Color,Weighted IV (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Weighted IV 3m (%)_Color,Weighted IV 3m 1d (%)_Color,Weighted IV 3m 1w (%)_Color,ATM IV 3m (%)_Color,ATM IV 3m 1d (%)_Color,ATM IV 3m 1w (%)_Color,Rvol100d - Weighted IV_Color,Volume_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,Open Interest_Color,OI 1d (%)_Color,OI 1w (%)_Color
30,BBAI,"BigBear.ai Holdings, Inc.",4.9,80.39,109.71,-1.65,-3.12,109.71,165.75,143.42,0.0,2.72,137.38,130.27,126.34,-12.42,-5.49,148.96,,,,,,-16.63,"33,083",-39.8,-18.92,"950,913",1.55,-3.61,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171
204,DAY,"Dayforce, Inc.",69.54,73.75,50.98,-6.7,-10.41,28.84,57.91,41.58,92.05,90.94,48.1,43.94,38.17,5.28,33.32,120.56,,,,,,12.81,"2,715",4.91,21.42,"33,770",1.11,1.18,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
280,BL,"BlackLine, Inc.",52.61,32.13,30.65,-7.41,-10.57,28.93,48.0,41.24,7.28,3.86,39.98,36.88,53.56,-14.86,-15.45,80.07,,45.93,31.22,-40.28,-43.11,-22.91,"1,173",-25.9,7.71,"7,710",7.85,8.12,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
4,AMD,"Advanced Micro Devices, Inc.",162.13,45.5,46.38,-18.17,-22.27,40.27,62.51,54.65,33.77,17.85,53.89,51.54,76.01,56.11,-19.92,93.04,,-29.99,,,,-29.63,"405,514",-20.45,-2.41,"3,769,567",2.42,-2.26,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171
24,COIN,"Coinbase Global, Inc.",302.31,65.8,73.07,-4.47,-5.84,73.07,97.63,84.91,0.0,3.37,76.3,84.1,62.95,-1.65,-9.3,64.26,,-3.65,62.27,,-6.63,10.12,"141,778",-4.67,-13.92,"1,272,024",2.41,-0.26,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171
107,ENVX,Enovix Corporation,9.09,74.17,80.7,-5.84,-7.39,80.7,97.67,91.23,0.0,0.55,89.87,90.01,112.59,1.15,9.79,102.54,,13.07,,,,-31.89,"15,819",-31.13,-75.62,"173,073",4.87,50.43,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
17,AVGO,Broadcom Inc.,302.39,29.45,35.91,-18.98,-20.55,35.91,77.67,62.68,0.0,0.11,60.71,56.68,50.74,-0.09,-15.11,46.25,,-15.08,42.75,,,-14.82,"230,533",4.36,71.18,"1,913,441",5.03,3.89,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
187,CRNC,Cerence Inc.,9.67,101.9,93.96,-3.3,-4.03,90.76,216.02,154.19,15.89,12.7,143.4,154.2,82.5,-6.08,-2.41,84.32,,3.68,,,,11.46,"2,408",-58.07,10.21,"42,082",9.47,13.14,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
303,PAR,PAR Technology Corporation,49.13,76.14,50.38,-6.73,-8.59,39.2,56.66,47.47,84.77,74.39,51.21,48.34,47.02,-13.75,-39.07,45.13,,,,,,3.35,676,1.65,5.96,"4,208",0.81,3.49,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
56,ENPH,"Enphase Energy, Inc.",37.08,70.76,90.43,-0.8,-2.83,55.51,94.48,75.01,69.54,88.59,77.57,75.71,76.78,0.81,-9.03,74.21,,3.0,,,,13.64,"27,058",-12.66,0.37,"501,232",1.2,-3.34,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#F87171
