Expiry,Skew_25_delta,Skew_75_delta,Skew_90_Moneyness,Skew_80_Moneyness,Skew_70_Moneyness,Skew_90_Moneyness_Vol,Skew_80_Moneyness_Vol,Skew_70_Moneyness_Vol,ATM_12m_3m_Ratio,Ticker
2025-09-12,1.1141258113010175,0.8003112904570657,,,,,,,0.9516092188524501,SATS
2025-09-19,1.1857779485777205,0.8273730552697549,,,,,,,0.9516092188524501,SATS
2025-09-26,1.2117608441383854,0.8525752049301113,,,,,,,0.9516092188524501,SATS
2025-10-03,1.197448907546434,0.859362901295797,,,,,,,0.9516092188524501,SATS
2025-10-10,1.1621082843119346,0.8488182238556925,,,,,,,0.9516092188524501,SATS
2025-10-17,1.1305701951182994,0.8178758339630104,0.8571504127283619,,,0.8603110034348193,,,0.9516092188524501,SATS
2025-12-19,1.0743587826164425,0.8694469181245841,0.8465357823681582,,,0.9301666226586579,,,0.9516092188524501,SATS
2026-01-16,1.041811950688733,0.8541881421854818,,,,,,,0.9516092188524501,SATS
2026-03-20,0.9776825016061412,0.8806020358333236,,,,,,,0.9516092188524501,SATS
2026-04-17,0.9749671638185686,0.8830624008085569,,,,,,,0.9516092188524501,SATS
2026-06-18,0.9789030717167871,0.8841849015682643,,,,,,,0.9516092188524501,SATS
2026-09-18,,,,,,,,,0.9516092188524501,SATS
2026-12-18,,,,,,,,,0.9516092188524501,SATS
2027-01-15,,,,,,,,,0.9516092188524501,SATS
2027-12-17,,,,,,,,,0.9516092188524501,SATS
