Ticker,Normalized 3m,Normalized 6m,Normalized 1y
CABO,75.42,152.39,199.91
IONS,60.57,53.57,66.61
SATS,34.57,36.84,36.75
GPRO,36.21,32.54,55.83
TPIC,3416.67,2463.06,12166.67
OPEN,6.11,12.53,25.07
MNKD,70.82,97.77,121.75
INVA,109.77,88.03,102.51
MLAB,139.94,185.58,184.27
AORT,74.7,60.87,63.83
RUN,37.26,40.79,117.57
SABR,135.42,178.65,164.06
DAY,81.61,83.65,86.49
DDD,63.09,109.87,103.0
ZD,86.55,114.52,135.66
ETSY,95.67,77.73,93.22
LNTH,152.67,191.05,207.79
HAE,136.44,125.1,149.41
WK,85.1,112.65,96.77
BLMN,127.52,113.08,230.91
NEO,86.01,122.9,202.1
RNG,88.46,87.87,98.54
FLR,120.64,90.81,111.33
XRX,148.06,150.87,268.57
WOLF,29.39,193.92,278.38
ENOV,94.81,121.68,131.39
GWRE,98.23,77.0,68.76
CHGG,102.13,52.48,128.37
CHTR,144.76,139.07,131.7
SRPT,118.89,420.44,711.68
PAR,145.73,141.17,129.65
SPB,99.02,132.33,173.42
AMPH,92.92,102.35,177.41
MP,56.45,39.81,21.25
MTH,80.9,91.98,128.36
MIDD,105.66,114.71,101.17
GMED,98.51,126.91,120.14
TVTX,62.62,90.53,62.02
ENPH,95.79,162.43,293.55
IIIV,83.04,79.86,72.68
DOCN,75.2,98.84,109.46
NSIT,109.68,126.34,173.41
MODG,86.99,68.78,108.22
CFLT,121.16,134.78,105.06
SEDG,55.51,55.97,71.76
IART,79.03,150.7,114.93
BOX,107.72,92.96,102.89
CYTK,66.2,87.18,114.79
LCID,111.9,114.92,190.02
PEP,90.88,102.49,121.31
WIX,92.76,98.98,91.64
HALO,69.63,84.27,82.42
LIVN,81.49,72.94,88.02
PLUG,72.61,101.27,125.48
FARO,99.52,66.97,39.78
RPAY,81.27,102.12,142.23
DVAX,110.04,145.51,119.12
TTGT,111.84,234.54,397.04
ARRY,96.54,72.98,89.37
BHR,84.11,94.3,94.18
LRN,103.66,87.85,59.32
VREX,66.81,112.02,100.44
IRWD,54.69,119.53,349.22
KHC,98.75,112.55,131.58
VERI,35.97,69.13,93.62
PRGS,152.09,130.87,140.38
NMFC,104.44,108.32,110.92
MRK,97.86,115.76,141.78
WGO,93.37,101.8,165.13
BTU,70.92,68.43,109.98
STX,61.86,41.64,46.74
HLX,112.3,138.02,154.95
CBRL,112.25,77.18,75.71
MCHP,106.94,79.56,118.41
GOSS,40.57,42.45,28.62
NBR,81.28,105.37,154.34
EVH,100.35,115.55,352.55
SKIN,55.51,49.81,56.65
ATI,106.11,67.49,79.55
VSH,102.25,113.16,119.11
NOG,123.32,119.73,132.42
INN,82.23,94.63,104.18
RIG,93.35,97.89,134.14
PCG,91.56,111.76,129.79
NRG,91.67,59.6,47.89
KOS,128.4,136.69,249.11
PR,110.95,104.45,99.86
AAL,84.44,89.86,86.27
MDB,61.13,56.68,86.85
HCAT,121.26,143.85,283.06
JAZZ,86.44,112.26,87.5
GPRE,57.19,53.24,130.36
PEB,82.75,91.1,110.83
EZPW,76.78,80.37,62.54
HUBS,107.15,117.73,97.49
GES,68.22,68.11,107.61
IDCC,68.08,66.16,40.62
CNMD,100.56,113.43,143.31
GPN,90.49,115.34,130.89
CYBR,81.62,72.86,57.44
SLB,102.29,116.8,112.8
SPOT,101.01,84.56,48.19
ECPG,85.43,77.13,107.15
PI,54.57,47.19,97.8
TWO,102.57,127.37,121.54
ON,108.63,89.79,146.27
FRPT,136.69,164.7,268.0
CSIQ,88.26,84.51,113.74
BABA,71.81,85.19,52.02
GBX,97.07,116.25,101.63
TTWO,96.46,84.78,61.66
RTX,91.7,84.11,73.79
SE,81.74,66.73,41.94
TYL,105.41,105.47,108.58
EEFT,111.82,121.13,110.18
XYZ,84.54,81.74,88.14
MMSI,112.08,122.13,120.15
V,100.22,99.79,85.08
NVST,88.07,79.89,89.4
SPHR,63.76,53.44,69.28
IMCR,92.1,88.41,95.87
INSM,69.48,55.03,51.16
AMZN,91.83,84.24,79.89
XMTR,63.02,49.17,35.49
NICE,115.46,107.55,112.76
KRG,99.46,97.22,113.66
KPTI,70.93,98.08,183.31
PD,89.3,117.96,110.01
JAMF,86.96,125.89,164.35
DBRG,83.71,78.64,119.84
POST,110.06,109.35,112.93
DDOG,93.79,74.41,80.35
U,51.39,45.2,43.63
TEVA,90.31,85.97,95.66
MCS,105.25,107.81,88.07
NEE,99.33,97.95,114.8
CYRX,77.31,65.79,94.53
PRO,96.0,137.8,115.33
RPD,121.04,145.83,177.78
BTSG,82.34,66.7,51.21
DXCM,107.18,99.38,92.74
MITT,92.74,95.37,89.65
IBM,109.78,93.7,82.42
