Ticker,Normalized 3m,Normalized 6m,Normalized 1y
OPEN,6.25,13.12,25.03
CABO,74.74,145.8,192.65
SATS,32.55,34.89,32.41
GPRO,40.34,37.78,65.22
INVA,110.69,89.26,102.27
IONS,57.24,52.79,66.8
TPIC,3687.5,3171.87,12718.75
MNKD,67.32,95.51,112.57
MLAB,150.03,200.71,202.57
AORT,73.14,59.88,62.04
RUN,35.99,41.47,119.74
DAY,82.43,83.59,86.11
ETSY,92.52,75.87,94.42
ZD,86.21,114.33,134.4
SABR,142.78,190.37,172.19
HAE,132.2,124.96,145.77
WK,85.97,115.28,96.45
RNG,88.74,89.62,96.77
DDD,83.86,117.94,110.76
LNTH,147.19,195.09,199.38
NEO,87.81,125.0,206.03
BLMN,134.89,112.62,229.38
FLR,121.63,93.25,111.9
GWRE,98.14,77.59,67.93
XRX,149.02,153.04,261.17
WOLF,53.65,254.51,374.25
CHTR,141.85,134.02,129.15
ENOV,97.35,124.31,136.63
SRPT,123.98,459.86,716.79
MTH,79.41,89.73,126.49
PAR,141.21,139.69,127.17
SPB,96.74,130.93,169.33
MP,55.87,42.21,21.73
AMPH,91.27,99.29,171.38
IIIV,81.29,81.52,72.65
MIDD,104.71,115.09,98.67
GMED,98.98,124.86,118.74
TVTX,60.01,88.2,57.44
MODG,87.96,67.85,106.81
ENPH,92.8,165.59,292.08
IART,80.68,151.53,116.0
DOCN,78.2,101.99,113.0
SEDG,55.09,58.61,68.0
CHGG,94.81,48.05,119.48
NSIT,107.53,126.09,168.22
CFLT,124.69,141.63,104.57
BOX,110.38,94.98,102.56
WIX,91.56,100.45,91.32
CYTK,63.64,84.98,109.29
LCID,111.54,126.59,204.41
PEP,89.21,101.08,118.97
HALO,69.06,83.62,81.01
LIVN,78.89,72.64,86.32
PLUG,71.71,103.95,128.95
DVAX,106.16,144.95,118.7
PCG,87.55,110.25,127.32
FARO,99.52,66.47,39.76
PRGS,151.34,132.12,138.27
RPAY,77.93,99.83,136.84
ARRY,96.87,78.1,88.92
BHR,83.22,95.89,96.71
TTGT,111.73,244.05,410.55
VREX,68.76,115.22,104.6
IRWD,48.09,113.74,348.85
WGO,92.88,102.45,162.21
VERI,39.68,73.73,91.42
SKIN,60.47,52.17,59.29
RTX,94.85,86.01,74.93
MRK,94.53,112.41,135.34
NRG,92.02,59.21,48.41
HLX,114.15,139.71,152.41
KHC,97.12,111.07,128.92
ATI,111.24,68.74,81.13
CBRL,117.49,80.61,75.15
NBR,82.13,103.82,147.8
GPN,89.05,114.59,128.36
NOG,122.04,117.13,128.24
INN,81.35,96.63,106.28
NMFC,97.9,102.81,104.66
VSH,99.87,112.9,118.66
EVH,94.12,111.86,333.81
BTU,76.11,75.35,117.9
KOS,133.53,138.32,240.12
