Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts
62,SATS,EchoStar Corporation,79.89,180.87,137.26,0.5,2.61,43.72,137.26,73.08,99.75,99.9,108.55,97.13,98.49,-3.83,,63.03,-2.42,,56.73,-2.35,,38.77,"56,096",37.93,14.82,"433,081",0.29,7.21,284
9,OPEN,Opendoor Technologies Inc.,5.86,200.7,182.31,0.5,1.05,66.58,182.31,90.48,99.75,99.98,145.4,129.45,169.54,0.66,,,,,167.54,0.71,,12.77,"3,369,264",355.56,119.63,"3,048,778",2.88,11.95,122
367,TPIC,"TPI Composites, Inc.",0.03,517.7,303.48,0.5,0.95,87.01,303.48,132.48,99.75,99.99,254.35,220.91,,,,,,,,,,,N/A,,,N/A,,,N/A
94,GPRO,"GoPro, Inc.",1.63,126.86,113.0,0.5,2.52,49.35,113.07,68.49,99.5,99.88,98.7,90.58,185.17,-0.44,,,,,,,,-72.17,"41,068",655.9,579.6,"233,033",-0.17,6.81,42
175,IONS,"Ionis Pharmaceuticals, Inc.",64.0,93.16,58.49,0.5,0.86,30.08,59.49,39.8,99.5,99.95,55.22,52.22,90.94,2.21,,,,,,,,-32.44,"2,780",-6.77,-13.26,"56,445",0.09,7.04,99
141,MNKD,MannKind Corporation,5.57,92.61,64.62,0.5,0.73,32.89,64.91,44.62,96.76,97.77,53.77,48.02,75.49,-11.3,,,,,61.7,43.02,,-10.87,"2,344",11.57,-45.8,"92,544",0.92,4.16,51
29,RUN,Sunrun Inc.,16.2,135.92,158.22,0.5,1.06,74.04,161.84,98.98,96.76,99.34,130.7,121.17,92.47,-25.6,,89.32,-6.3,,89.19,-9.15,,65.75,"45,605",62.93,14.33,"1,061,882",-0.46,6.27,325
71,ETSY,"Etsy, Inc.",57.82,61.13,49.1,0.5,5.02,37.29,51.84,44.43,96.01,91.97,48.2,46.21,54.37,-6.43,,55.07,4.36,,54.92,5.07,,-5.27,"86,762",299.42,181.99,"365,008",2.25,-0.91,299
356,AORT,"Artivion, Inc.",41.04,71.54,49.34,0.5,1.71,24.52,51.55,34.9,95.76,98.17,43.45,39.35,61.13,-12.28,,,,,,,,-11.8,106,0.0,7.07,504,-2.51,-1.75,15
211,DAY,"Dayforce, Inc.",68.89,73.59,50.4,0.5,0.16,28.84,57.91,37.97,95.76,97.88,47.73,43.78,34.36,8.06,,20.89,8.46,,5.0,0.0,,16.04,704,1.15,-73.06,"33,736",-0.06,0.2,33
301,ZD,"Ziff Davis, Inc.",36.59,72.48,53.58,0.5,1.35,29.12,60.96,40.72,95.01,95.19,51.55,49.11,80.3,-1.62,,69.2,3.31,,49.88,1.79,,-26.71,910,0.11,-48.96,"4,877",0.31,0.89,34
367,MLAB,"Mesa Laboratories, Inc.",59.53,104.19,70.73,0.5,0.24,44.73,74.42,55.0,95.01,99.71,63.17,60.95,,,,,,,,,,,N/A,,,N/A,,,N/A
148,DDD,3D Systems Corporation,2.12,109.8,106.83,0.5,0.61,61.21,111.2,87.41,94.51,92.81,101.2,100.13,100.53,-2.97,,,,,93.77,1.08,,6.3,"2,208",0.23,1.85,"88,102",0.27,2.16,57
322,WK,Workiva Inc.,75.62,93.23,58.33,0.5,2.06,26.38,64.01,39.34,94.26,97.42,56.68,50.7,61.11,-18.42,,49.7,-8.75,,34.55,16.34,,-2.78,303,2.36,18.82,"2,948",0.17,2.04,46
224,RNG,"RingCentral, Inc.",30.63,85.83,54.54,0.5,2.12,39.07,60.78,45.99,94.26,96.53,51.23,48.35,57.88,-1.23,,55.43,5.88,,45.77,-4.67,,-3.33,"2,018",3.7,-4.27,"25,799",1.63,4.36,76
243,HAE,Haemonetics Corporation,53.67,93.64,56.1,0.5,0.1,25.21,59.07,34.97,94.26,99.68,50.7,46.74,59.37,-5.03,,39.98,-17.5,,34.82,-14.64,,-3.27,"2,258",103.06,-9.13,"16,842",1.07,-0.71,42
92,SABR,Sabre Corporation,1.72,131.48,88.0,0.5,-0.8,50.55,104.24,70.95,94.01,90.24,86.16,80.94,99.66,3.66,,104.26,12.79,,,,,-11.67,"14,613",30.95,34.04,"237,849",0.45,2.31,64
213,BLMN,"Bloomin' Brands, Inc.",6.89,119.09,91.38,0.5,-0.4,28.95,98.44,53.42,93.77,96.42,84.99,77.11,74.43,-1.2,,74.25,7.2,,59.32,5.65,,16.95,"1,424",8.37,1.21,"32,409",2.77,4.73,39
252,LNTH,"Lantheus Holdings, Inc.",52.5,105.89,76.38,0.5,0.81,43.09,78.1,61.7,93.77,93.71,66.18,63.91,67.01,-5.47,,60.51,-2.26,,52.04,-5.53,,9.37,"2,458",35.95,12.75,"14,715",0.32,8.62,156
109,FLR,Fluor Corporation,41.36,98.71,64.88,0.5,0.58,27.36,71.26,43.08,93.52,97.12,61.65,57.16,55.23,2.65,,,,,44.7,-19.51,,9.65,"5,494",-5.59,-70.29,"170,841",0.92,5.81,164
270,GWRE,"Guidewire Software, Inc.",253.04,57.94,43.62,0.5,35.07,22.38,46.45,34.84,93.27,90.47,42.66,40.2,58.58,8.39,,52.05,5.08,,33.67,-0.82,,-14.95,"1,757",-58.26,-59.93,"11,649",5.3,104.4,118
97,XRX,Xerox Holdings Corporation,3.62,84.46,77.93,0.5,0.67,36.03,89.05,52.84,93.27,96.4,73.19,67.62,94.21,-3.3,,,,,,,,-16.28,"2,591",18.31,50.99,"217,176",0.28,0.96,47
