Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread 3Y,Spread 5Y,Latest Open_Color,Latest Close_Color,Latest High_Color,Latest Low_Color,Open 1d (%)_Color,Open 1w (%)_Color,Close 1d (%)_Color,Close 1w (%)_Color,High 1d (%)_Color,High 1w (%)_Color,Low 1d (%)_Color,Low 1w (%)_Color,Spread 1Y_Color,Spread 3Y_Color,Spread 5Y_Color
BKNG,Booking Holdings Inc.,5528.49,5569.7,5638.5,5509.98,-1.17,-1.71,1.16,-0.35,-0.25,0.25,1.01,-1.22,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#10B981,#F87171,#F87171,#10B981,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF
AXON,"Axon Enterprise, Inc.",739.08,740.61,750.0,733.88,1.11,-5.77,1.67,-0.89,1.52,-4.56,3.54,-1.55,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#10B981,#F87171,#10B981,#F87171,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF
SPOT,Spotify Technology S.A.,710.9,718.28,720.55,706.65,-0.01,3.18,1.57,5.34,0.57,4.29,2.37,4.92,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
TYL,"Tyler Technologies, Inc.",559.96,566.1,566.58,558.23,0.4,0.47,1.1,0.57,0.99,0.66,0.93,0.24,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
HUBS,"HubSpot, Inc.",490.0,498.53,502.42,486.6,4.14,2.63,2.26,3.18,2.09,3.48,3.42,2.06,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
MSFT,Microsoft Corporation,498.11,498.2,501.2,495.03,-2.15,-2.08,0.65,-1.68,-2.1,-1.65,0.54,-1.88,SENIOR_NORE_14,8.18,12.06,20.76,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#10B981,#F87171,#F87171,#F87171,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF
CYBR,CyberArk Software Ltd.,462.81,468.8,470.18,462.81,0.27,2.23,1.3,3.43,0.75,2.87,1.15,2.5,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
ALNY,"Alnylam Pharmaceuticals, Inc.",455.39,455.03,463.0,452.85,0.43,0.7,0.67,1.91,1.7,1.99,1.84,1.81,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
CMI,Cummins Inc.,399.54,397.4,400.3,394.27,-1.0,0.12,-0.61,-0.26,-1.23,-0.35,-0.73,-0.26,SENIOR_NORE_14,12.35,26.32,48.9,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#F87171,#F87171,#F87171,#F87171,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF
CMI,Cummins Inc.,399.54,397.4,400.3,394.27,-1.0,0.12,-0.61,-0.26,-1.23,-0.35,-0.73,-0.26,SENIOR_NORE,12.35,26.32,48.9,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#F87171,#F87171,#F87171,#F87171,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF
