Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts
10,OPEN,Opendoor Technologies Inc.,9.07,257.98,205.0,0.5,13.03,66.58,205.0,91.0,99.75,100.0,161.69,142.67,196.35,7.12,17.76,,,,189.44,6.95,7.54,8.65,"1,143,301",-43.97,-14.36,"2,874,845",-9.27,10.48,300
367,CABO,"Cable One, Inc.",171.93,71.27,110.32,0.5,1.8,36.7,110.32,59.08,99.75,97.2,89.97,79.68,,,,,,,,,,,N/A,,,N/A,,,N/A
62,SATS,EchoStar Corporation,74.89,181.06,137.35,0.5,0.65,43.72,137.41,73.19,99.5,99.88,108.75,97.19,78.6,-3.32,-24.82,62.39,-3.0,,55.51,-3.65,-22.73,58.75,"52,856",1.35,-55.5,"454,010",2.63,10.99,447
92,GPRO,"GoPro, Inc.",2.07,138.18,116.49,0.5,3.89,49.35,117.09,68.82,99.5,99.93,101.62,92.84,186.17,20.96,5.8,,,,,,,-69.68,"90,171",156.45,85.44,"247,668",0.41,23.31,54
329,INVA,"Innovava, Inc.",19.37,30.71,23.84,0.5,2.65,15.44,23.92,19.13,99.5,97.29,20.81,19.82,78.9,35.44,48.92,49.38,5.0,,30.26,-26.84,21.82,-55.07,171,-5.0,113.75,"2,284",0.0,1.78,17
178,IONS,"Ionis Pharmaceuticals, Inc.",63.16,92.91,58.6,0.5,1.41,30.08,59.49,39.91,99.5,99.93,55.2,50.45,79.94,3.07,24.37,,,,,,,-21.34,"3,528",33.94,-6.34,"57,181",1.19,3.1,107
367,TPIC,"TPI Composites, Inc.",0.03,519.74,303.37,0.5,0.87,87.01,303.48,133.0,99.5,99.99,254.35,220.89,,,,,,,,,,,N/A,,,N/A,,,N/A
145,MNKD,MannKind Corporation,5.57,92.84,64.8,0.5,0.65,32.89,64.91,44.6,97.99,97.81,52.55,48.07,82.75,7.51,-9.47,,,,58.33,42.49,1.24,-17.95,"2,525",-55.55,-0.75,"91,666",-0.85,2.27,51
367,MLAB,"Mesa Laboratories, Inc.",61.66,105.41,71.44,0.5,1.76,44.73,74.42,55.11,95.74,99.75,63.61,61.22,,,,,,,,,,,N/A,,,N/A,,,N/A
357,AORT,"Artivion, Inc.",40.7,72.62,49.82,0.5,2.74,24.52,51.55,34.87,95.74,98.48,43.8,39.53,133.25,31.7,153.24,,,,,,,-83.42,106,0.0,0.95,505,0.0,-1.37,9
30,RUN,Sunrun Inc.,16.06,134.52,157.92,0.5,0.42,74.04,161.84,99.35,95.74,99.2,130.41,121.07,95.99,12.36,4.53,87.99,2.87,,85.37,-6.04,-17.76,61.93,"26,507",31.29,-54.34,"1,027,942",-2.07,3.42,343
210,DAY,"Dayforce, Inc.",68.99,73.04,49.98,0.5,-0.47,28.84,57.91,38.08,95.24,97.29,47.7,43.58,47.75,23.61,44.36,19.51,-19.41,,5.0,0.0,0.0,2.23,764,12.68,-40.5,"33,817",0.15,0.2,38
71,ETSY,"Etsy, Inc.",58.94,58.6,49.02,0.5,1.32,37.29,51.84,44.45,94.99,91.36,48.33,46.29,59.88,-5.23,-11.14,54.28,-10.61,,51.14,-12.67,-19.62,-10.86,"31,422",72.58,-32.97,"362,491",-7.11,6.29,319
304,ZD,"Ziff Davis, Inc.",36.63,73.19,53.82,0.5,1.71,29.12,60.96,40.9,94.99,95.29,51.76,49.19,82.01,0.94,23.21,68.41,-2.29,,48.0,-5.88,17.04,-28.18,640,-30.51,-31.99,"4,875",0.16,0.68,33
91,SABR,Sabre Corporation,1.87,135.24,89.15,0.5,1.64,50.55,104.24,71.07,94.74,91.38,86.82,81.41,99.02,3.83,13.25,103.24,-1.01,,69.36,,,-9.86,"22,285",4.29,105.77,"251,649",4.42,7.05,81
244,HAE,Haemonetics Corporation,52.2,93.56,56.22,0.5,0.4,25.21,59.07,35.14,94.49,99.62,50.66,46.76,82.66,38.0,52.94,46.66,9.22,,34.64,-7.46,-13.92,-26.44,"2,180",-1.45,83.81,"16,916",0.31,1.28,45
323,WK,Workiva Inc.,77.48,92.7,58.48,0.5,1.65,26.38,64.01,39.51,94.24,97.3,56.73,50.73,65.38,-0.62,6.55,51.93,0.78,,34.07,8.82,-12.35,-6.9,395,11.9,35.27,"2,958",0.89,0.89,48
225,RNG,"RingCentral, Inc.",30.36,85.62,54.61,0.5,1.54,39.07,60.78,45.98,94.24,96.61,51.37,48.46,76.64,21.15,4.97,57.81,2.35,,43.18,-0.78,0.43,-22.03,"2,797",35.97,-7.96,"25,354",-1.33,0.08,72
149,DDD,3D Systems Corporation,2.23,110.4,106.81,0.5,0.42,61.21,111.2,87.65,93.98,92.5,101.46,99.9,105.9,3.56,1.16,,,,92.98,,3.11,0.92,"2,070",6.48,-24.12,"88,400",0.31,1.29,54
251,LNTH,"Lantheus Holdings, Inc.",52.94,107.49,76.97,0.5,1.82,43.09,78.1,61.68,93.98,94.39,66.48,64.17,84.22,13.16,32.58,65.29,-8.89,,51.7,164.53,0.39,-7.25,"1,963",-10.08,-5.53,"15,354",0.19,9.84,153
220,NEO,NeoGames S.A.,7.96,84.85,98.75,0.5,2.68,40.89,107.12,66.79,93.23,94.22,94.09,82.52,73.31,-3.28,-2.2,77.53,5.32,,57.05,-12.26,-8.86,25.45,"3,523",4.54,22.75,"28,174",1.28,5.42,42
216,BLMN,"Bloomin' Brands, Inc.",6.78,118.55,90.52,0.5,-0.46,28.95,98.44,53.85,93.23,95.85,85.01,77.09,75.06,-10.01,1.38,72.51,1.12,,58.74,6.96,0.24,15.47,"1,983",46.45,53.72,"31,639",0.16,-2.32,42
107,FLR,Fluor Corporation,41.01,98.46,64.7,0.5,0.19,27.36,71.26,43.3,92.48,96.79,61.65,57.16,57.94,4.22,8.83,,,,55.16,0.37,1.96,6.76,"13,541",294.55,161.56,"171,238",0.11,2.93,166
270,GWRE,"Guidewire Software, Inc.",252.94,57.96,42.99,0.5,-0.47,22.38,46.45,34.96,91.98,88.43,42.55,40.03,64.89,42.31,42.02,51.24,17.66,,32.68,-1.99,-8.33,-21.91,"4,046",93.77,-40.25,"12,022",2.46,35.92,123
98,XRX,Xerox Holdings Corporation,3.68,42.71,77.49,0.5,0.17,36.03,89.05,53.05,91.73,95.89,73.19,67.63,99.26,4.44,-11.31,,,,,,,-21.77,"1,384",-23.37,-31.69,"217,469",0.02,0.73,44
23,WOLF,"Wolfspeed, Inc.",2.33,170.4,291.65,0.5,5.09,69.77,308.23,146.45,91.73,97.23,248.93,226.9,290.21,8.7,31.54,296.35,-2.87,,456.09,,,1.44,"390,347",31.28,904.37,"1,427,987",5.11,39.58,155
147,CHTR,"Charter Communications, Inc.",263.4,22.48,46.73,0.5,-1.58,28.46,52.19,40.28,91.23,91.34,42.65,42.1,62.13,13.44,16.52,65.48,3.58,,46.55,3.42,-1.93,-15.41,"27,355",40.24,58.89,"89,984",-1.4,5.19,437
282,ENOV,Enovis Corporation,31.72,46.98,53.6,0.5,0.7,25.37,59.65,36.45,91.23,95.95,50.06,45.85,71.27,1.78,9.11,62.83,-1.6,,56.49,8.02,-26.44,-17.67,330,-7.04,-4.9,"8,883",0.78,1.29,35
93,SRPT,"Sarepta Therapeutics, Inc.",17.39,71.37,147.71,0.5,0.6,29.38,157.81,70.3,90.73,98.26,121.8,105.38,111.49,9.11,6.76,,,,103.57,13.07,-3.89,36.22,"15,163",6.14,-30.97,"246,066",-2.41,1.54,191
273,MTH,Meritage Homes Corporation,78.79,42.45,41.59,0.5,1.74,32.77,45.35,38.34,89.97,89.12,40.37,39.38,52.22,-12.89,17.24,43.46,-8.72,,28.58,-28.87,-21.51,-10.63,"11,422",1067.89,978.56,"11,507",0.97,3.33,45
305,PAR,PAR Technology Corporation,44.02,74.51,50.01,0.5,1.21,35.93,56.66,44.55,89.72,89.85,51.3,48.44,74.01,-1.06,5.46,98.3,7.56,,43.53,-0.92,19.74,-24.0,592,-12.17,-10.71,"4,744",9.36,12.42,47
294,SPB,"Spectrum Brands, Inc.",53.36,41.91,38.78,0.5,2.09,21.17,42.99,30.8,89.22,93.36,36.95,33.56,56.11,7.75,-28.4,,,,,,,-17.33,786,1.16,0.9,"6,749",0.07,0.24,31
53,MP,MP Materials Corp.,63.51,48.25,98.12,0.5,-4.4,51.54,111.58,67.25,88.72,96.36,90.7,83.01,76.79,3.17,-2.69,73.65,-1.12,,69.52,-1.14,-1.06,21.33,"66,763",71.85,9.28,"570,615",-3.92,13.89,524
