Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts
367,CABO,"Cable One, Inc.",167.12,70.01,110.38,0.5,1.91,36.7,110.38,59.21,99.75,97.15,90.02,79.57,,,,,,,,,,,N/A,,,N/A,,,N/A
177,IONS,"Ionis Pharmaceuticals, Inc.",61.1,93.81,58.94,0.5,1.31,30.08,59.49,39.96,99.75,99.93,55.35,50.57,56.15,-17.82,-10.72,,,,,,,2.79,"2,444",-30.73,-28.27,"58,458",2.23,4.33,114
62,SATS,EchoStar Corporation,71.94,170.2,137.61,0.5,0.8,43.72,137.61,73.35,99.75,99.87,108.89,97.28,96.4,31.9,-57.3,61.55,4.7,-61.79,59.51,7.13,76.04,41.21,"41,800",-20.92,-32.48,"461,071",1.56,9.38,543
91,GPRO,"GoPro, Inc.",2.4,140.7,118.39,0.5,5.41,49.35,118.39,68.95,99.75,99.94,103.04,93.98,173.31,-6.9,20.6,,,,,,,-54.93,"20,562",-77.2,98.61,"266,726",7.69,15.14,60
367,TPIC,"TPI Composites, Inc.",0.04,522.9,304.15,0.5,0.73,87.01,304.15,133.42,99.75,99.99,241.04,221.3,,,,,,,,,,,N/A,,,N/A,,,N/A
7,OPEN,Opendoor Technologies Inc.,9.49,256.89,204.94,0.5,13.14,66.58,205.0,91.28,99.5,100.0,161.73,142.66,202.37,2.91,23.06,,,,181.59,-4.22,9.23,2.57,"883,134",-22.76,66.21,"3,243,326",12.82,12.36,302
146,MNKD,MannKind Corporation,5.38,93.68,64.89,0.5,0.75,32.89,64.91,44.65,99.5,97.79,52.61,48.16,68.42,-1.6,-24.07,,,,58.43,0.03,21.17,-3.52,"2,708",7.25,-12.59,"91,576",-0.1,1.05,57
329,INVA,"Innovava, Inc.",19.55,30.02,23.81,0.5,2.07,15.44,23.92,19.14,98.5,97.14,20.83,19.83,56.17,10.78,11.13,71.38,20.19,63.41,,,,-32.36,171,0.0,-9.52,"2,283",-0.04,0.48,17
367,MLAB,"Mesa Laboratories, Inc.",66.29,107.79,72.21,0.5,2.73,44.73,74.42,55.15,96.25,99.81,64.16,61.67,,,,,,,,,,,N/A,,,N/A,,,N/A
357,AORT,"Artivion, Inc.",39.76,73.19,49.86,0.5,2.41,24.52,51.55,34.9,95.75,98.44,43.89,39.61,185.84,23.45,134.68,,,,,,,-135.98,106,0.0,0.95,505,0.0,-2.32,17
30,RUN,Sunrun Inc.,16.45,133.49,157.83,0.5,0.19,74.04,161.84,99.5,95.5,99.15,130.41,120.61,91.47,-5.02,-14.89,87.63,-0.4,-2.18,85.65,0.37,-4.73,66.36,"28,046",5.81,-81.39,"1,033,582",0.55,1.95,366
92,SABR,Sabre Corporation,1.92,135.69,89.22,0.5,1.67,50.55,104.24,71.12,95.0,91.38,86.82,81.41,106.43,6.37,-8.22,96.11,-1.84,-6.47,78.57,13.21,31.81,-17.21,"21,951",-1.5,90.13,"253,260",0.64,7.53,87
211,DAY,"Dayforce, Inc.",68.91,71.62,49.87,0.5,-0.69,28.84,57.91,38.11,95.0,97.1,47.68,43.57,76.45,208.52,129.43,16.71,24.42,-30.86,,,,-26.59,796,4.19,-15.59,"33,880",0.19,0.34,44
149,DDD,3D Systems Corporation,2.33,110.46,107.02,0.5,0.5,61.21,111.2,87.7,94.75,92.64,101.5,99.38,104.58,-1.44,1.23,,,,78.4,-15.81,-20.81,2.44,"2,284",10.34,-23.51,"88,694",0.33,0.81,57
304,ZD,"Ziff Davis, Inc.",36.65,71.03,53.7,0.5,1.64,29.12,60.96,40.94,94.75,95.06,51.75,49.16,71.2,21.74,2.73,60.74,-8.3,-5.06,49.4,3.01,15.48,-17.49,637,-0.47,-32.66,"4,926",1.05,1.38,36
72,ETSY,"Etsy, Inc.",57.8,58.83,48.94,0.5,0.27,37.29,51.84,44.46,94.5,90.91,48.3,46.32,66.88,11.25,16.56,58.32,3.55,6.23,53.14,3.95,-7.91,-17.94,"25,311",-19.45,-9.38,"371,562",2.5,4.84,335
252,LNTH,"Lantheus Holdings, Inc.",51.74,107.56,77.01,0.5,1.67,43.09,78.1,61.72,94.0,94.36,66.47,64.13,73.88,5.49,7.93,61.1,0.28,1.42,49.42,-4.47,-4.9,3.13,"1,975",0.61,5.05,"15,445",0.59,7.39,171
246,HAE,Haemonetics Corporation,51.35,93.34,55.94,0.5,0.03,25.21,59.07,35.19,93.5,99.55,50.6,46.75,69.71,7.91,22.21,42.63,-1.24,-5.37,46.57,34.51,8.98,-13.77,"3,334",52.94,221.81,"16,991",0.44,2.02,48
323,WK,Workiva Inc.,78.26,44.41,58.12,0.5,-0.04,26.38,64.01,39.55,93.5,96.99,56.67,50.74,55.98,-7.98,-27.52,48.98,-2.24,-12.72,38.81,13.81,31.23,2.14,390,-1.27,33.56,"2,964",0.2,0.71,49
213,BLMN,"Bloomin' Brands, Inc.",6.88,118.31,90.51,0.5,-0.46,28.95,98.44,53.94,93.0,95.77,84.91,77.09,560.1,11.64,665.95,,,,,,,-469.59,"1,764",-11.04,13.44,"32,214",1.82,1.71,45
221,NEO,NeoGames S.A.,8.08,83.65,98.74,0.5,2.72,40.89,107.12,66.87,92.75,94.14,94.1,82.41,98.45,52.15,26.56,73.88,-3.5,1.08,61.97,8.68,0.5,0.3,"3,215",-8.74,7.67,"28,753",2.06,5.88,51
225,RNG,"RingCentral, Inc.",30.76,82.06,54.4,0.5,0.9,39.07,60.78,46.0,92.75,96.19,51.4,48.47,86.57,17.14,67.3,58.26,2.29,8.43,44.09,2.02,7.93,-32.17,"2,379",-14.94,17.89,"25,901",2.16,2.24,78
108,FLR,Fluor Corporation,41.48,37.09,64.6,0.5,0.06,27.36,71.26,43.36,92.25,96.66,61.66,57.16,59.22,2.06,4.59,,,,57.48,3.97,10.03,5.38,"11,743",-13.28,72.03,"179,354",4.74,7.58,171
98,XRX,Xerox Holdings Corporation,3.63,42.21,77.51,0.5,0.03,36.03,89.05,53.11,91.75,95.83,71.71,67.64,311.34,16.96,221.99,,,,,,,-233.83,"1,441",4.12,-13.45,"217,549",0.04,0.61,51
22,WOLF,"Wolfspeed, Inc.",2.96,182.41,294.11,0.5,3.41,69.77,308.23,146.82,91.75,97.36,250.33,228.1,309.79,-1.71,24.59,280.21,-12.28,8.54,116.53,-74.46,,-15.68,"408,413",4.63,25.7,"1,540,306",7.87,47.79,164
282,ENOV,Enovis Corporation,32.34,45.05,53.66,0.5,1.08,25.37,59.65,36.49,91.5,95.91,50.12,45.9,75.83,16.96,7.53,64.52,2.71,-2.88,61.53,8.96,3.87,-22.17,416,26.06,19.88,"8,912",0.33,1.5,35
269,GWRE,"Guidewire Software, Inc.",251.24,57.78,42.71,0.5,-1.53,22.38,46.45,34.98,91.25,87.54,42.52,40.04,49.7,-13.38,-4.18,45.42,-10.0,-4.79,38.7,18.27,9.8,-6.98,"2,338",-42.21,-51.07,"12,179",1.31,19.32,149
122,CHGG,"Chegg, Inc.",1.41,111.41,111.53,0.5,1.78,39.21,122.32,88.44,90.75,85.77,112.24,105.94,142.53,-3.41,3.62,153.94,16.4,20.83,119.74,-20.14,-1.28,-31.0,"4,247",-16.97,-69.9,"123,866",0.42,-1.82,51
147,CHTR,"Charter Communications, Inc.",260.72,22.11,46.51,0.5,-1.98,28.46,52.19,40.29,90.5,90.51,42.65,42.09,65.38,6.07,20.21,67.23,1.85,8.13,47.87,2.76,6.06,-18.88,"18,181",-33.54,-14.36,"90,962",1.09,2.9,469
93,SRPT,"Sarepta Therapeutics, Inc.",17.47,70.66,147.14,0.5,0.2,29.38,157.81,70.5,89.75,98.13,121.78,105.37,110.63,-3.54,4.49,,,,106.13,2.36,-1.56,36.51,"20,030",32.1,53.8,"250,519",1.81,1.38,196
305,PAR,PAR Technology Corporation,43.21,74.16,49.97,0.5,1.05,35.93,56.66,44.57,89.5,89.61,51.22,48.47,71.71,10.48,-2.54,88.37,-8.82,-11.43,58.81,34.96,28.76,-21.73,823,39.02,21.03,"4,840",2.02,13.11,55
294,SPB,"Spectrum Brands, Inc.",52.09,42.15,38.73,0.5,2.07,21.17,42.99,30.82,89.0,93.16,37.03,33.63,178.6,-3.19,259.32,,,,,,,-139.88,786,0.0,0.9,"6,753",0.06,0.25,36
338,AMPH,"Amphastar Pharmaceuticals, Inc.",27.27,64.21,45.8,0.5,1.53,26.91,50.05,40.38,89.0,88.39,44.04,43.19,95.91,11.1,1.23,74.94,5.32,7.78,44.87,3.4,83.31,-50.11,164,0.0,-4.65,"1,469",0.34,1.1,27
53,MP,MP Materials Corp.,65.94,48.41,98.13,0.5,-3.11,51.54,111.58,67.32,88.75,96.29,90.74,83.07,94.92,23.26,21.27,74.11,0.76,-1.38,73.24,5.39,0.54,3.22,"50,644",-24.14,13.66,"585,791",2.66,1.55,612
275,MTH,Meritage Homes Corporation,77.18,40.38,40.87,0.5,-1.14,32.77,45.35,38.35,88.0,83.1,40.45,39.42,196.49,23.75,299.98,182.75,5.5,283.54,,,,-155.62,"11,313",-0.95,1068.7,"11,361",-1.27,1.14,62
266,MIDD,Middleby Corporation,134.19,72.41,46.27,0.5,0.2,23.82,55.44,34.03,86.75,92.76,47.37,43.13,99.5,9.72,73.79,50.06,-0.7,10.23,34.99,3.57,4.03,-53.23,"3,481",0.06,-0.37,"12,575",0.02,0.11,63
270,GMED,"Globus Medical, Inc.",58.24,37.4,53.33,0.5,0.49,22.65,56.65,35.67,86.5,94.6,45.51,40.68,56.63,23.32,-0.61,37.98,-1.99,-9.96,44.85,35.94,35.41,-3.29,"1,409",1.0,-15.58,"12,160",0.07,1.3,72
176,TVTX,"Travere Therapeutics, Inc.",23.01,87.93,73.0,0.5,20.05,53.66,115.04,65.63,86.25,83.36,70.0,66.65,81.87,-10.07,-24.42,57.76,-16.33,-39.67,60.13,14.33,-27.08,-8.87,"1,515",-58.47,-57.09,"61,326",3.74,17.87,51
56,ENPH,"Enphase Energy, Inc.",37.98,57.27,89.49,0.5,0.23,55.51,94.48,68.5,86.25,97.67,76.99,75.56,87.78,10.72,7.34,74.72,2.09,2.77,77.37,10.35,12.56,1.71,"52,525",15.39,78.5,"530,405",2.9,3.68,342
353,IIIV,"i3 Verticals, Inc.",30.78,44.18,38.58,0.5,1.29,32.03,40.57,36.47,86.0,87.63,37.09,36.43,60.02,-5.96,8.63,,,,,,,-21.43,33,0.0,0.0,730,0.14,0.0,14
138,DOCN,"DigitalOcean Holdings, Inc.",36.98,95.06,68.65,0.5,0.89,43.33,78.93,55.66,86.0,92.18,67.82,62.99,70.02,13.96,15.05,61.23,-3.38,-7.42,58.89,3.45,6.58,-1.37,"2,621",-10.7,-57.58,"100,172",0.25,3.89,137
339,NSIT,"Insight Enterprises, Inc.",122.35,35.43,43.06,0.5,2.3,20.35,46.38,33.48,85.0,91.81,38.52,38.7,58.61,8.3,16.61,58.68,2.4,1.24,40.87,3.35,11.79,-15.55,685,0.0,0.0,"1,448",1.19,1.4,23
195,MODG,Topgolf Callaway Brands Corp.,9.61,65.96,70.43,0.5,0.62,30.85,78.0,53.77,85.0,92.32,67.58,62.47,73.29,7.51,15.0,,,,69.16,-0.15,12.78,-2.86,742,17.78,-1.2,"42,097",0.05,1.14,39
77,CFLT,"Confluent, Inc.",19.75,45.43,82.05,0.5,0.48,45.6,112.52,68.4,84.75,79.28,79.35,72.7,68.52,1.66,8.63,,,,69.93,12.97,4.16,13.52,"13,006",-38.63,-16.75,"348,802",0.36,1.66,240
73,SEDG,"SolarEdge Technologies, Inc.",30.59,85.24,125.73,0.5,0.17,65.61,136.31,98.48,84.75,90.99,115.17,114.84,119.07,6.19,11.57,99.16,1.87,0.67,96.91,-1.01,-4.24,6.66,"18,224",13.22,-36.43,"365,366",1.59,1.83,306
351,IART,Integra LifeSciences Holdings Corporation,15.07,49.94,67.72,0.5,-0.15,29.57,72.69,55.26,83.75,88.2,61.67,60.03,94.92,-20.61,-10.06,102.4,-19.91,4.36,75.55,,30.49,-27.2,109,-9.92,-4.39,936,0.0,0.43,21
171,BOX,"Box, Inc.",32.51,23.64,32.13,0.5,1.28,22.03,35.14,28.67,82.5,83.38,29.11,27.76,40.44,-12.85,8.36,32.5,-1.92,-3.23,34.68,30.2,32.39,-8.31,"3,248",0.78,7.48,"66,000",1.62,2.0,120
143,CYTK,"Cytokinetics, Incorporated",49.44,109.9,73.3,0.5,0.94,33.67,120.93,62.32,82.0,65.71,66.48,59.75,67.72,-5.9,0.52,,,,63.24,18.86,27.2,5.58,"3,070",0.75,6.3,"94,077",1.22,3.17,99
9,LCID,"Lucid Group, Inc.",19.84,71.51,82.54,0.5,0.15,64.68,86.69,78.01,81.75,82.87,78.21,77.08,97.65,5.47,1.35,96.73,1.72,-1.28,93.16,6.08,39.3,-15.11,"87,249",-14.44,-41.68,"3,025,625",0.31,-0.5,329
54,PEP,"PepsiCo, Inc.",140.64,19.39,23.48,0.5,-0.39,14.34,25.59,18.93,80.0,89.9,23.97,21.85,169.89,2.29,507.63,,,,,,,-146.4,"18,795",-81.75,-44.49,"553,873",8.93,9.73,432
179,WIX,Wix.com Ltd.,170.87,52.84,49.5,0.5,-3.89,27.62,54.89,43.3,79.0,79.79,49.57,47.78,60.94,-3.84,-21.79,57.04,5.07,-15.13,52.08,1.6,-44.16,-11.44,"7,613",-50.54,-45.63,"57,227",2.34,30.77,236
238,HALO,"Halozyme Therapeutics, Inc.",76.33,17.91,58.59,0.5,-0.31,28.16,61.22,43.89,78.75,90.39,47.78,51.02,59.32,13.46,26.0,38.0,-7.93,-11.89,40.65,11.95,6.97,-0.74,"1,030",-38.58,11.59,"20,201",-0.01,3.91,54
341,LIVN,LivaNova PLC,55.43,42.62,47.9,0.5,1.28,25.47,56.23,40.94,78.25,79.25,47.42,42.64,67.91,1.23,23.66,73.1,2.69,-3.54,38.28,11.51,31.37,-20.01,195,1.04,-35.64,"1,299",0.0,1.01,34
28,PLUG,Plug Power Inc.,1.57,58.84,115.21,0.5,-2.47,75.41,138.95,102.69,78.25,77.7,105.39,105.19,133.04,-5.91,8.87,118.47,-6.34,-0.2,,,,-17.83,"101,397",235.65,608.62,"1,085,353",1.68,2.12,93
