Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Volume Rank,Open Interest Rank
SATS,71.81,69.4,68.92,73.58,"38,800",0.0,-6.79,137.75,63.67,-56.87,-35.36,-19.93,-30.83,"476,890",2.62,10.12,0.8937,60 of 371,61 of 371
CABO,172.84,171.46,171.93,179.01,N/A,0.0,-2.72,110.43,,,,,,N/A,,,,367 of 371,367 of 371
IONS,61.17,61.44,60.86,62.09,"3,440",0.0,-4.48,58.94,53.79,-41.84,-40.85,76.59,23.74,"58,557",-0.03,3.74,0.6986,199 of 371,179 of 371
INVA,19.38,19.54,19.3,19.66,175,0.0,-0.26,23.85,54.93,-14.75,13.99,2.34,-2.23,"2,283",0.0,0.13,,347 of 371,330 of 371
TPIC,0.03,0.03,0.03,0.03,N/A,0.0,-14.06,305.05,,,,,,N/A,,,,367 of 371,367 of 371
OPEN,10.21,9.01,8.77,10.87,"1,046,307",0.0,-2.95,203.28,163.91,-23.71,-3.32,-49.39,-68.95,"3,663,270",5.92,20.16,0.8356,3 of 371,6 of 371
GPRO,2.31,2.35,2.22,2.58,"27,069",0.0,15.5,115.38,157.6,-3.55,-14.89,25.19,-34.09,"264,779",0.42,13.62,2.7321,78 of 371,92 of 371
MNKD,5.39,5.38,5.38,5.54,"4,006",0.0,-0.55,64.87,72.98,-5.74,-3.32,58.72,70.9,"91,667",0.06,-0.95,1.0037,179 of 371,148 of 371
ETSY,60.62,59.45,59.19,62.0,"31,752",0.0,1.73,49.16,67.93,-3.63,24.94,3.2,-63.4,"392,534",2.93,7.54,0.9173,69 of 371,72 of 371
MLAB,65.15,65.51,64.81,68.2,N/A,0.0,3.27,72.12,,,,,,N/A,,,,367 of 371,367 of 371
AORT,39.95,39.87,39.57,40.33,106,0.0,-5.58,49.82,59.23,-13.34,-3.11,0.0,0.0,505,0.0,0.2,,354 of 371,357 of 371
RUN,15.91,16.25,15.71,16.94,"33,665",0.0,-0.62,157.61,89.77,-22.16,-2.92,2.65,-26.18,"1,040,221",0.15,-2.04,0.9475,67 of 371,33 of 371
ZD,38.36,38.29,37.9,39.58,445,0.0,1.83,54.03,57.59,-58.39,-28.27,-39.7,-51.1,"4,627",-6.2,-5.13,,317 of 371,308 of 371
DAY,68.41,69.08,68.41,69.27,"1,288",0.0,-0.88,49.4,11.05,-71.05,-67.84,-51.94,82.95,"35,216",3.88,4.39,,255 of 371,211 of 371
SABR,1.84,1.87,1.82,1.91,"21,502",0.0,-2.13,88.95,95.53,-13.49,-4.15,-3.44,47.14,"254,898",0.27,7.17,1.9958,88 of 371,93 of 371
DDD,2.24,2.33,2.22,2.38,"23,235",0.0,-0.44,106.8,111.07,3.35,10.48,831.26,952.31,"88,831",0.35,0.83,0.9321,82 of 371,150 of 371
WK,81.39,79.7,79.36,82.24,371,0.0,3.76,57.96,47.73,-25.82,-21.9,-6.55,22.44,"2,967",-0.27,0.64,,320 of 371,322 of 371
HAE,49.95,51.14,49.45,51.31,"2,021",0.0,-6.6,55.75,45.14,-48.77,-23.97,-66.38,-10.5,"16,338",-4.95,-2.99,0.974,234 of 371,248 of 371
LNTH,50.84,51.81,50.51,52.33,"2,248",0.0,-7.55,76.83,63.84,-16.62,-4.73,-14.1,-8.54,"15,260",-0.78,3.7,0.8039,229 of 371,255 of 371
BLMN,6.7,6.75,6.68,7.08,"1,117",0.0,-3.18,90.49,476.51,-2.87,540.23,-41.85,-21.56,"30,597",-1.58,-5.59,,268 of 371,218 of 371
XRX,3.67,3.73,3.62,3.88,"6,875",0.0,-0.81,77.74,255.96,-6.41,171.69,231.49,165.34,"218,306",0.14,0.52,,148 of 371,99 of 371
