Expiry,Skew_25_delta,Skew_75_delta,Skew_call_25_75,Skew_put_25_75,Skew_60_Moneyness,Skew_80_Moneyness,Skew_120_Moneyness,Skew_140_Moneyness,ATM_12m_3m_Ratio,Ticker
2025-09-19,0.8866694730075301,1.0964622785769058,,,,1.18366613683973,,,0.9233243933944283,AG
2025-09-26,0.9080567412633019,1.059424462324506,,,,1.1898945445797025,,,0.9233243933944283,AG
2025-10-03,0.9044745405887575,1.082445744536923,,,,1.1928469218567435,,,0.9233243933944283,AG
2025-10-10,0.9070425743755249,1.1941510993876183,,,,1.1267262833852296,,,0.9233243933944283,AG
2025-10-17,0.9105783107679499,1.1922835076337746,,,,1.2329790437986998,,,0.9233243933944283,AG
2025-10-24,0.9086659534425152,1.155172014550334,,,,1.136049113209245,,,0.9233243933944283,AG
2025-12-19,0.9188704501944805,1.1439275367722679,,,,1.2208319221422106,,,0.9233243933944283,AG
2026-01-16,0.9237127790043788,1.2311939670694023,,,,1.2215355936207086,,,0.9233243933944283,AG
2026-04-17,0.944276555112717,1.2484402688833107,,,,1.2311231415543706,,,0.9233243933944283,AG
2026-12-18,,,,,,1.228584158286931,,,0.9233243933944283,AG
2027-01-15,,,,,,1.299339783316958,,,0.9233243933944283,AG
