Expiry,Skew_25_delta,Skew_75_delta,Skew_call_25_75,Skew_put_25_75,Skew_60_Moneyness,Skew_80_Moneyness,Skew_120_Moneyness,Skew_140_Moneyness,ATM_12m_3m_Ratio,Ticker
2025-09-19,0.8782259854100878,0.6958586759444282,,,,,,,0.9299933299068361,AR
2025-09-26,0.9514907841111218,0.812796530189887,,,,1.0812649856585865,,,0.9299933299068361,AR
2025-10-03,0.9834856505013616,0.8455444898097996,,,,1.0810347167968954,,,0.9299933299068361,AR
2025-10-10,1.0012240217158381,0.8587280077661212,,,,0.963458160928372,,,0.9299933299068361,AR
2025-10-17,1.0044948340519364,0.8754914127770206,,,,1.1474042913020932,,,0.9299933299068361,AR
2025-10-24,1.0071546967137293,0.9039695340479884,,,,0.9973999760263212,,,0.9299933299068361,AR
2025-11-21,1.0468170903906342,0.9044516283325092,,,,1.24694064693945,,,0.9299933299068361,AR
2026-01-16,1.057478702431205,0.9819783455239733,,,,1.234758450378145,,,0.9299933299068361,AR
2026-02-20,1.0772428913275673,1.4047473628472071,,,,1.2405227978477995,,,0.9299933299068361,AR
2026-03-20,1.0903612094894977,1.0874177989237261,,,,1.2607838366552677,,,0.9299933299068361,AR
2026-06-18,1.1311752400222275,1.4324542039095203,,,,1.183956322590099,,,0.9299933299068361,AR
2027-01-15,1.1657307391528684,1.2411955958043892,,,,1.2942353998209324,,,0.9299933299068361,AR
