Ticker,Normalized 3m,Normalized 6m,Normalized 1y
OPEN,5.47,10.84,20.82
SATS,21.86,33.93,28.91
GPRO,39.75,35.65,65.0
TPIC,3483.87,3451.61,12129.03
IONS,55.57,51.47,64.05
INVA,111.63,89.5,100.93
CABO,74.18,127.47,179.77
MNKD,68.45,95.94,114.39
RUN,62.46,40.6,117.3
MLAB,153.54,199.22,191.44
AORT,66.77,57.01,58.5
DAY,82.7,80.25,85.13
DDD,74.67,115.56,102.67
ETSY,93.96,76.61,86.83
ZD,81.71,106.85,126.92
SABR,139.89,177.13,161.17
WK,83.8,111.6,90.41
RNG,82.95,86.37,90.63
HAE,131.06,122.51,136.99
LNTH,141.53,183.85,189.18
BLMN,114.05,118.82,213.87
FLR,116.87,89.11,108.69
GWRE,100.0,73.4,67.06
NEO,84.77,117.75,194.24
XRX,138.8,151.95,251.54
WOLF,68.62,311.17,428.19
CHTR,147.29,133.18,128.46
ENOV,101.01,117.32,137.02
SRPT,202.01,542.66,699.83
MTH,79.0,85.77,118.12
MP,48.47,42.57,21.88
SPB,93.45,128.4,159.97
AMPH,90.03,92.96,162.2
GMED,98.79,119.15,117.51
PAR,136.08,128.43,121.5
MIDD,101.74,109.29,92.26
DOCN,73.25,98.91,109.87
IIIV,73.32,75.15,69.82
MODG,80.04,63.81,98.24
IART,78.6,144.47,114.09
ENPH,122.19,155.76,283.57
SEDG,79.01,54.66,61.55
WIX,87.99,101.85,90.72
CHGG,84.38,49.38,115.62
CFLT,121.59,135.53,99.69
NSIT,101.42,117.2,156.85
TVTX,58.0,78.92,50.4
BOX,107.79,94.67,99.67
CYTK,64.48,83.2,101.39
LCID,105.53,105.03,196.48
TTGT,117.83,219.67,398.0
HALO,69.62,80.32,78.09
PEP,89.84,100.92,118.32
LIVN,79.8,68.43,85.0
PCG,86.56,106.33,124.42
PLUG,85.43,109.93,128.48
FARO,96.59,66.9,39.58
ARRY,101.4,77.45,85.1
PRGS,145.59,128.41,133.16
RPAY,80.74,95.78,132.77
BHR,78.46,94.61,91.7
DVAX,105.44,142.4,112.63
VREX,71.22,108.7,99.83
WGO,89.47,100.16,151.06
VERI,39.66,73.94,95.47
IRWD,50.0,120.16,365.32
ATI,111.83,67.75,81.86
RTX,92.01,81.68,74.68
HUBS,111.63,122.62,99.16
NRG,96.02,60.0,49.76
KHC,96.92,110.68,125.63
HLX,112.46,125.08,148.9
SKIN,61.94,53.44,59.11
EVH,88.83,101.07,323.85
GPN,86.09,108.37,124.85
NBR,82.09,102.49,153.15
INN,78.32,95.29,105.74
NOG,122.93,110.7,125.36
CBRL,99.49,76.44,68.9
MDB,61.92,55.82,88.88
JAZZ,84.46,107.4,82.87
NMFC,97.62,100.02,103.5
MRK,95.01,109.02,130.93
BTU,73.31,71.33,113.21
MCHP,100.4,81.09,113.67
VSH,97.23,108.13,114.15
AAL,80.08,83.94,84.02
RIG,101.84,93.25,127.3
KOS,130.06,128.9,227.17
PR,105.95,95.66,91.45
HCAT,117.13,127.78,247.53
STX,64.32,44.07,49.74
GPRE,57.11,52.81,125.49
EZPW,77.52,79.16,64.57
LRN,88.93,75.33,50.19
V,102.54,96.27,82.5
GES,66.69,54.7,103.04
