Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts
62,SATS,EchoStar Corporation,83.57,179.81,137.2,0.54,1.65,43.72,137.2,72.98,99.75,99.92,108.49,97.0,231.94,168.8,134.22,248.17,,,,,,-94.74,"61,903",-47.89,-19.92,"421,519",3.04,16.23,15
9,OPEN,Opendoor Technologies Inc.,6.11,205.37,182.05,0.37,0.67,66.58,182.29,90.26,99.75,99.98,145.83,129.49,162.5,-10.48,-0.97,178.06,,,,,,19.55,"531,341",-60.2,-45.87,"2,886,476",10.93,19.2,12
367,TPIC,"TPI Composites, Inc.",0.04,518.12,302.27,0.5,0.65,87.01,302.27,132.13,99.75,99.99,253.7,220.14,,,,,,,,,,,N/A,,,N/A,,,N/A
93,GPRO,"GoPro, Inc.",1.67,129.64,112.88,0.66,2.4,49.35,113.07,68.35,99.5,99.9,98.87,90.61,156.94,-12.55,-28.99,,,,,,,-44.06,"10,353",-78.71,56.98,"231,644",15.34,7.05,9
174,IONS,"Ionis Pharmaceuticals, Inc.",64.4,92.98,58.47,1.19,-1.22,30.08,59.49,39.75,99.5,99.95,55.43,52.29,63.12,17.76,53.95,,,,,,,-4.66,"3,407",-9.56,-74.48,"56,032",1.03,23.1,6
143,MNKD,MannKind Corporation,5.51,93.67,64.73,0.55,1.72,32.89,64.91,44.59,97.76,97.88,53.76,48.04,59.09,-45.65,-33.28,46.83,,,,,,5.64,"3,098",21.78,-64.14,"90,620",1.1,4.88,8
30,RUN,Sunrun Inc.,16.03,136.69,158.33,0.67,0.19,74.04,161.84,98.81,96.76,99.4,131.21,121.3,132.39,18.24,3.04,115.09,,,,,,25.93,"150,681",159.54,374.17,"1,013,790",2.0,2.6,15
207,DAY,"Dayforce, Inc.",68.9,73.59,50.47,0.5,-7.63,28.84,57.91,37.93,96.26,98.01,48.1,43.79,27.18,-24.04,-25.04,75.99,,,,,,23.29,943,-26.56,-63.56,"33,766",0.05,1.1,6
71,ETSY,"Etsy, Inc.",56.02,61.28,49.05,1.38,1.65,37.29,51.84,44.42,96.01,91.87,48.84,46.32,51.46,-41.99,-7.91,52.14,,,,,,-2.41,"27,930",-40.42,-51.81,"354,398",3.92,2.26,16
356,AORT,"Artivion, Inc.",42.45,70.4,48.93,0.9,-1.78,24.52,51.55,34.9,95.76,97.92,43.52,39.25,61.96,14.3,-27.62,,,,,,,-13.03,105,0.0,-0.94,517,0.98,-1.52,4
