Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d
SNAP,SNAP251003C00010000,Call,2025-10-03,10.0,1.3642488286022774,0.02,0.03,60.0,181,7.31,7.31,7.34,0.7187528125,2025-10-03,0.05475701574264202,7.330041111521689,0.3106039684452264,0.7311423643937809,0.7890117961667659,0.7617455173384037,0.05786943177298498,0.04912548532528403,1.3101568903958245,0.7617455173384037,0.031773099695285544,0.0,,0.5814154952909992
SNAP,SNAP251024P00007500,Put,2025-10-24,7.5,1.0202494463749334,0.53,0.75,98.0,108,7.31,7.31,7.34,0.5488326367187502,2025-10-24,0.11225188227241616,7.351143415611138,0.020047152666956853,0.45857742208342384,0.6838137209620226,0.5712206651302316,0.2252362988785988,-0.5036138022530927,0.9824654997272388,0.5712206651302316,0.03662700884091661,0.2882943100259351,0.4759827906477842,0.5814154952909992
SNAP,SNAP251017C00012000,Call,2025-10-17,12.0,1.6339641067253476,0.02,0.04,1.0,14363,7.31,7.31,7.34,0.8437515624999999,2025-10-17,0.09308692676249145,7.344102572760538,0.4910090296881887,0.8087934620597118,0.9109159721017368,0.8650728500652656,0.102122510042025,0.041960683906763704,1.4878737444592793,0.8650728500652656,0.06966169807332351,0.7561371403233503,1.4214243515674878,0.5814154952909992
SNAP,SNAP250919C00009000,Call,2025-09-19,9.0,1.2301793211838117,0.01,0.02,211.0,14760,7.31,7.31,7.34,0.7812521875,2025-09-19,0.01642710472279261,7.3160065732036745,0.20715994833839274,0.8541777586461711,0.9702552991817409,0.9179378604001664,0.11607754053556985,0.04437930285606326,1.578798411522791,0.9179378604001664,0.013841641323302432,0.0,,0.5814154952909992
SNAP,SNAP260618C00022000,Call,2026-06-18,22.0,2.897195075681029,0.08,0.14,24.0,4136,7.31,7.31,7.34,0.6992217578125001,2026-06-18,0.7611225188227242,7.593551495605995,1.0637430536554926,0.6493105895243625,0.7200474562684541,0.6874726834588958,0.07073686674409163,0.07027990579835419,1.1824120427248241,0.6874726834588958,0.35972072815771305,1.9828480199813383,,0.5814154952909992
SNAP,SNAP251003C00009500,Call,2025-10-03,9.5,1.2960363871721636,0.02,0.03,33.0,537,7.31,7.31,7.34,0.6250037500000001,2025-10-03,0.05475701574264202,7.330041111521689,0.259310674057676,0.6338097938633978,0.6866255099951559,0.6616966729271844,0.05281571613175817,0.05509961840004652,1.138078840839982,0.6616966729271844,0.023974947951425338,0.3831521926356878,,0.5814154952909992
SNAP,SNAP260320C00017000,Call,2026-03-20,17.0,2.2664942918195043,0.09,0.13,20.0,500,7.31,7.31,7.34,0.6992217578125001,2026-03-20,0.5147159479808351,7.500570401327893,0.8182342728954871,0.6641490715308515,0.7155206250036397,0.6911087270534723,0.05137155347278821,0.08040867837137294,1.188665821002193,0.6911087270534717,0.24584443326647604,0.7210456075605906,,0.5814154952909992
SNAP,SNAP251010P00006000,Put,2025-10-10,6.0,0.817765299810078,0.03,0.04,1.0,140,7.31,7.31,7.34,0.507817421875,2025-10-10,0.07392197125256673,7.337068473550383,-0.20117990309626038,0.5101315356774004,0.5473732359347493,0.5293919247716903,0.03724170025734885,-0.07082311200263314,0.9105225592701635,0.5293919247716903,0.0207170619311809,0.13008718395080832,0.5457225101011958,0.5814154952909992
SNAP,SNAP250926C00009000,Call,2025-09-26,9.0,1.2290010692046545,0.02,0.03,139.0,1057,7.31,7.31,7.34,0.632816171875,2025-09-26,0.03559206023271732,7.323020480221658,0.20620170056289644,0.6567783295582423,0.7152564709063254,0.6875908585845468,0.058478141348083046,0.06366301140165272,1.1826152968978005,0.6875908585845468,0.016827256548986848,1.43582827133648,,0.5814154952909992
SNAP,SNAP251024P00008500,Put,2025-10-24,8.5,1.1562827058915912,1.24,1.61,101.0,103,7.31,7.31,7.34,0.6445348046875,2025-10-24,0.11225188227241616,7.351143415611138,0.14521029562096288,0.43753678452776607,0.8868851542743822,0.6793642493888256,0.4493483697466161,-0.6999161631602147,1.168466019380517,0.6793642493888256,0.05180826041684692,0.2753414917398116,0.0,0.5814154952909992
